PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,ORB,DRB,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,FGM,FGA,FG%,3P%,FT%,2P%,eFG%,TS%,USG%,EFF,PER,+/-,POSS,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,OWS,DWS,WS,BPM,OBPM,DBPM,VORP,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Ulanovas E.,2024-2025,33,198,22.303030303030305,6.515151515151516,33,15,33,57,90,60,2,16,31,88,67,26,61,138,44.2,39.4,82.7,48.6,53.6,63.2,13.8,267,11.6,-69,201,112.0,116.8,-4.8,126.8,108.3,18.5,0.9,1.2,2.0,1.1,0.0,1.1,1.3,0.45454545454545453,6,5.27027027027027,5.4
Vesely J.,2024-2025,35,213,21.90909090909091,9.363636363636363,22,12,25,58,83,43,11,25,19,52,27,7,86,150,57.3,50.0,75.0,58.1,59.7,61.7,19.5,268,18.1,35,186,117.8,113.8,4.0,116.5,102.1,14.4,0.3,1.1,1.4,3.8,1.1,2.8,1.6,0.5454545454545454,8,8.6,7.2
Vezenkov S.,2024-2025,29,206,30.375,20.15625,32,23,60,152,212,56,7,26,36,38,149,58,219,395,55.4,38.7,90.3,65.7,62.8,69.5,24.7,783,25.5,211,500,125.0,113.8,11.2,130.2,105.4,24.8,2.4,2.3,4.7,5.5,5.0,0.5,4.8,0.71875,2,19.424242424242426,14.5
Vildoza L.,2024-2025,29,191,17.88888888888889,5.2592592592592595,27,19,3,41,44,71,3,20,25,54,12,32,49,113,43.4,41.0,80.0,48.6,57.5,59.2,14.5,158,10.5,19,145,120.9,117.9,3.0,122.4,109.1,13.3,0.4,0.9,1.3,0.3,-0.2,0.4,0.7,0.7037037037037037,2,7.580645161290323,6.7
Voigtmann J.,2024-2025,32,214,23.970588235294116,6.735294117647059,34,19,41,132,173,82,7,19,49,57,20,37,86,186,46.2,34.9,69.0,61.3,56.2,57.8,14.5,327,11.5,-2,247,119.8,121.5,-1.7,109.2,112.2,-3.0,0.1,1.0,1.1,-0.5,-1.0,0.5,0.7,0.5588235294117647,5,3.772727272727273,7.1
Walker L.,2024-2025,26,196,22.31578947368421,13.631578947368421,19,6,6,54,60,35,3,18,36,31,48,39,86,222,38.7,33.1,85.7,45.2,47.5,52.9,32.8,214,16.1,-60,281,107.4,116.8,-9.4,102.3,106.2,-3.9,-0.2,0.8,0.5,-1.7,-0.7,-1.0,0.1,0.3157894736842105,1,14.851851851851851,11.4
Walkup T.,2024-2025,32,193,21.3,4.65,20,14,9,39,48,92,3,22,35,56,8,15,35,74,47.3,39.5,88.9,55.6,57.4,59.6,12.9,159,10.8,91,113,123.7,112.3,11.4,128.0,102.9,25.1,0.7,1.1,1.8,0.2,-0.6,0.8,0.6,0.7,5,5.0,6.4
Ward T.,2024-2025,27,198,26.0,10.911764705882353,34,19,38,132,170,47,6,33,32,89,51,58,131,302,43.4,33.1,73.9,57.5,53.0,55.9,19.5,378,14.7,140,364,118.6,111.5,7.1,106.1,100.6,5.5,0.0,2.3,2.3,0.5,-0.1,0.6,1.4,0.5588235294117647,0,7.290322580645161,9.8
Washigton D.,2024-2025,25,188,14.833333333333334,7.722222222222222,18,7,1,18,19,32,0,8,17,30,32,11,48,121,39.7,23.9,82.1,49.3,44.2,50.4,29.0,107,13.1,37,155,117.1,109.2,7.9,107.9,103.3,4.6,0.0,0.6,0.6,-6.1,-2.0,-4.1,-0.6,0.3888888888888889,2,14.91304347826087,7.7
Weiler Babb N.,2024-2025,29,196,26.40625,8.1875,32,19,37,96,133,158,2,50,54,78,23,55,92,191,48.2,43.0,74.2,58.7,62.6,63.7,14.8,412,16.6,140,260,124.1,116.1,8.0,140.0,105.0,35.0,2.4,1.7,4.1,4.2,3.7,0.5,3.1,0.59375,2,7.861111111111111,7.9
Williams Goss N.,2024-2025,30,192,22.466666666666665,8.4,30,23,6,55,61,111,1,23,54,77,65,19,84,189,44.4,33.9,84.4,48.9,49.5,56.8,19.9,260,11.8,106,276,120.9,112.4,8.5,116.9,105.6,11.3,0.5,1.5,2.1,-1.5,-1.2,-0.3,0.2,0.7666666666666667,3,11.615384615384615,8.3
Williams T.,2024-2025,24,208,21.6875,10.625,16,3,38,73,111,49,9,10,45,54,24,12,67,143,46.9,27.9,63.2,55.0,51.0,53.1,26.8,183,16.2,-116,205,106.3,124.0,-17.7,100.4,111.6,-11.2,-0.3,0.5,0.2,-1.3,-1.7,0.4,0.1,0.1875,3,8.875,9.4
Willis D.,2024-2025,30,206,11.857142857142858,3.238095238095238,21,10,20,34,54,7,7,10,8,18,12,8,24,57,42.1,29.6,70.6,53.3,49.1,52.3,13.9,101,12.1,40,73,119.9,109.7,10.2,104.6,99.6,5.0,-0.1,0.7,0.7,-0.4,-1.4,1.0,0.3,0.47619047619047616,3,5.888888888888889,4.2
Wright M.,2024-2025,26,206,13.066666666666666,5.333333333333333,15,10,11,30,41,9,7,9,15,23,19,1,30,59,50.8,16.7,65.5,54.7,51.7,55.6,21.9,92,15.3,4,87,112.7,110.6,2.1,89.3,95.9,-6.6,-0.3,0.6,0.4,-2.2,-4.0,1.8,0.0,0.6666666666666666,1,12.81081081081081,8.2
Yurtseven O.,2024-2025,27,208,13.666666666666666,8.0,24,15,38,51,89,13,19,5,29,40,25,3,82,131,62.6,42.9,69.4,63.7,63.7,65.8,26.2,219,21.8,13,175,118.6,115.4,3.2,109.3,105.6,3.7,0.1,0.8,0.9,0.5,-0.2,0.8,0.6,0.625,0,6.2631578947368425,7.6
Zagars A.,2024-2025,25,190,14.954545454545455,5.863636363636363,22,16,8,17,25,51,1,9,29,44,39,22,34,96,35.4,32.4,75.0,42.9,46.9,53.8,21.6,128,10.7,18,149,113.0,109.7,3.3,109.6,105.8,3.8,0.1,0.6,0.7,-2.2,0.1,-2.3,0.0,0.7272727272727273,2,3.4,7.2
