PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,ORB,DRB,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,FGM,FGA,FG%,3P%,FT%,2P%,eFG%,TS%,USG%,EFF,PER,+/-,POSS,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,OWS,DWS,WS,BPM,OBPM,DBPM,VORP,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Clyburn W.,2024-2025,35,201,27.416666666666668,13.75,24,7,24,89,113,57,5,26,34,36,49,43,119,273,43.6,34.1,81.7,51.7,51.5,55.6,24.5,369,17.4,-69,331,111.3,116.9,-5.6,117.4,105.6,11.8,0.7,1.3,2.0,0.4,0.4,0.0,0.9,0.2916666666666667,8,13.133333333333333,12.4
Colson B.,2024-2025,29,198,19.38235294117647,7.029411764705882,34,23,40,88,128,20,9,24,28,51,24,31,92,214,43.0,34.8,64.9,48.8,50.2,52.0,18.4,246,12.7,-22,258,111.5,113.7,-2.2,99.1,104.3,-5.2,-0.4,1.4,1.0,-1.5,-2.5,1.0,0.2,0.6764705882352942,2,7.911764705882353,7.0
Cordinier I.,2024-2025,28,194,26.794117647058822,12.029411764705882,34,9,35,97,132,132,9,23,69,96,91,28,145,306,47.4,27.7,79.8,57.1,52.0,58.1,22.5,461,15.6,-42,421,113.4,117.1,-3.7,119.0,107.9,11.1,1.2,1.5,2.7,-0.2,0.4,-0.6,0.9,0.2647058823529412,1,9.4,9.8
Da Silva O.,2024-2025,26,205,15.28,4.84,25,16,29,48,77,12,6,12,19,52,13,6,51,88,58.0,31.6,68.4,65.2,61.4,64.4,14.1,141,13.1,20,113,114.5,111.0,3.5,117.5,102.0,15.5,0.2,0.9,1.1,-1.2,-1.6,0.4,0.2,0.64,1,6.176470588235294,6.0
Davidovac D.,2024-2025,30,202,12.925925925925926,3.888888888888889,27,15,8,41,49,15,5,10,9,44,23,10,36,65,55.4,40.0,92.0,65.0,63.1,69.1,12.1,124,12.7,37,85,116.9,109.8,7.1,125.2,101.6,23.6,0.3,0.8,1.1,0.8,-1.2,2.0,0.5,0.5555555555555556,3,2.619047619047619,4.7
De Colo N.,2024-2025,38,196,20.59375,11.5,32,13,11,44,55,143,1,24,76,51,91,55,111,248,44.8,38.7,94.8,52.8,55.8,63.9,26.3,419,18.8,-73,364,112.7,119.0,-6.3,125.6,110.8,14.8,1.6,0.9,2.6,0.1,3.6,-3.5,0.7,0.40625,11,13.615384615384615,10.2
Deck G.,2024-2025,30,198,23.91304347826087,8.478260869565217,23,14,21,52,73,31,5,10,25,39,34,17,72,131,55.0,39.5,68.0,62.5,61.5,63.5,15.5,208,12.3,21,179,113.7,111.6,2.1,109.8,107.3,2.5,0.2,1.1,1.3,0.8,-0.6,1.5,1.0,0.6086956521739131,3,6.911764705882353,6.6
Diallo A.,2024-2025,28,201,26.25,10.642857142857142,28,17,46,70,116,52,9,31,35,80,42,20,118,220,53.6,40.8,66.7,57.3,58.2,60.3,18.2,326,16.7,23,282,115.3,113.8,1.5,116.5,104.4,12.1,1.1,1.8,2.9,3.4,1.4,1.9,2.7,0.6071428571428571,1,11.972972972972974,9.3
Dibartolomeo J.,2024-2025,34,183,17.333333333333332,5.151515151515151,33,11,24,38,62,22,0,22,8,76,24,44,51,124,41.1,42.7,88.9,33.3,58.9,63.0,11.3,172,11.2,-91,143,112.7,121.7,-9.0,129.8,113.0,16.8,0.6,0.7,1.3,1.2,1.4,-0.2,1.0,0.3333333333333333,7,4.0,5.1
Dimitrijevic N.,2024-2025,27,186,16.88888888888889,7.555555555555555,27,13,8,34,42,77,0,11,41,33,48,18,69,189,36.5,23.7,87.3,45.1,41.3,47.2,27.3,176,11.3,-111,257,112.1,126.7,-14.6,103.2,118.3,-15.1,-0.2,0.3,0.1,-6.5,-2.4,-4.1,-1.1,0.48148148148148145,0,10.733333333333333,8.7
Diop K.,2024-2025,23,208,14.4375,4.09375,32,13,55,61,116,15,16,11,23,64,19,0,56,91,61.5,0.0,52.8,62.9,61.5,61.2,13.3,185,14.4,57,130,115.9,109.7,6.2,108.7,100.1,8.6,0.1,1.1,1.1,0.1,-2.1,2.2,0.5,0.40625,4,4.0,5.4
Diouf M.,2024-2025,23,206,15.806451612903226,6.225806451612903,31,8,40,57,97,13,12,20,21,62,61,0,66,110,60.0,0.0,70.1,60.0,60.0,64.3,17.6,245,17.0,-5,171,109.8,109.5,0.3,114.2,98.5,15.7,0.3,1.3,1.5,0.0,-1.9,1.9,0.6,0.25806451612903225,4,8.0625,5.5
Dobric O.,2024-2025,30,200,11.423076923076923,3.6153846153846154,26,12,7,22,29,12,2,13,17,35,9,13,36,82,43.9,29.5,75.0,60.5,51.8,54.0,17.3,63,8.5,-45,104,107.5,113.0,-5.5,89.3,104.9,-15.6,-0.3,0.6,0.2,-2.4,-3.7,1.3,-0.1,0.46153846153846156,3,4.75,4.8
Dorsey T.,2024-2025,29,196,10.15,3.3,20,12,2,17,19,21,1,4,19,22,12,12,21,64,32.8,29.3,60.0,39.1,42.2,45.5,21.3,40,4.6,-31,92,105.7,114.9,-9.2,85.4,108.8,-23.4,-0.4,0.3,-0.1,-6.6,-5.0,-1.6,-0.5,0.6,2,16.972972972972972,5.4
Dos Santos Y.,2024-2025,26,175,16.558823529411764,6.470588235294118,34,18,7,44,51,113,0,17,42,47,44,34,71,183,38.8,39.5,81.5,38.1,48.1,53.7,21.3,259,13.1,106,247,116.3,108.5,7.8,120.6,101.7,18.9,0.8,1.3,2.1,-1.6,-0.1,-1.5,0.1,0.5294117647058824,1,2.6,7.5
Dozier P.,2024-2025,28,198,17.666666666666668,7.833333333333333,12,9,5,19,24,39,2,8,18,24,12,14,34,61,55.7,58.3,92.3,54.1,67.2,71.2,19.3,116,16.0,51,84,130.1,114.2,15.9,133.4,109.2,24.2,0.5,0.6,1.1,1.2,1.3,-0.1,0.6,0.75,1,9.692307692307692,7.8
Dunston B.,2024-2025,39,203,15.696969696969697,4.0,33,15,55,54,109,29,16,17,19,94,22,0,55,89,61.8,0.0,64.7,63.2,61.8,63.2,11.7,175,14.5,-55,124,107.5,112.9,-5.4,126.6,103.0,23.6,0.5,1.1,1.6,3.0,-1.0,4.0,1.4,0.45454545454545453,12,3.0625,4.5
Edwards C.,2024-2025,27,180,28.647058823529413,20.470588235294116,34,19,18,60,78,112,1,33,76,72,110,98,244,543,44.9,36.0,90.9,53.9,54.0,58.6,32.9,577,19.4,41,670,121.8,119.7,2.1,117.3,112.0,5.3,1.4,1.3,2.8,-1.7,2.3,-4.0,0.2,0.5588235294117647,0,17.257142857142856,14.2
Fall Y.,2024-2025,30,221,9.782608695652174,3.9130434782608696,23,15,26,34,60,1,6,1,19,41,14,0,38,55,69.1,0.0,60.9,69.1,69.1,68.2,17.4,90,17.0,47,85,113.4,101.9,11.5,103.0,97.5,5.5,0.1,0.7,0.8,-4.7,-3.1,-1.6,-0.4,0.6521739130434783,3,2.2666666666666666,5.5
Feliz A.,2024-2025,27,188,14.23076923076923,4.730769230769231,26,17,10,36,46,43,2,13,18,53,15,12,48,111,43.2,28.6,75.0,52.2,48.6,51.3,17.2,117,12.6,-3,138,112.9,112.5,0.4,112.0,105.1,6.9,0.2,1.1,1.3,0.2,-1.5,1.7,0.6,0.6538461538461539,0,6.15625,6.6
Forrest T.,2024-2025,27,193,24.764705882352942,9.676470588235293,34,14,15,80,95,160,8,28,66,65,54,19,128,267,47.9,32.8,81.8,52.2,51.5,56.1,20.7,396,15.2,28,359,116.3,114.6,1.7,122.8,106.4,16.4,1.4,1.5,2.9,-1.0,-0.1,-0.9,0.4,0.4117647058823529,0,10.923076923076923,9.0
Fournier E.,2024-2025,32,199,25.5,15.8125,32,22,20,49,69,84,5,33,54,64,82,82,171,403,42.4,37.3,71.3,48.6,52.6,56.1,30.0,395,17.3,77,505,120.5,115.7,4.8,110.9,108.3,2.6,0.4,1.7,2.1,0.3,1.9,-1.6,1.2,0.6875,5,11.121212121212121,13.2
Francisco S.,2024-2025,27,186,25.515151515151516,14.606060606060606,33,15,16,68,84,149,12,32,94,61,126,74,141,354,39.8,34.9,75.4,47.2,50.3,56.7,29.7,515,17.5,54,519,113.7,111.8,1.9,117.2,103.6,13.6,1.2,1.7,2.9,1.5,2.6,-1.1,1.6,0.45454545454545453,0,16.54054054054054,14.3
Gabriel W.,2024-2025,28,206,17.75,6.75,16,11,26,33,59,6,15,10,14,45,12,0,48,71,67.6,0.0,42.9,68.6,67.6,65.9,16.4,127,14.3,36,96,125.2,117.1,8.1,112.8,106.5,6.3,0.0,0.8,0.9,2.0,-1.3,3.4,0.8,0.6875,1,6.114285714285714,7.4
Garuba U.,2024-2025,23,201,14.380952380952381,4.142857142857143,21,14,19,50,69,12,8,14,11,55,8,5,37,73,50.7,17.9,53.3,71.1,54.1,54.4,14.6,92,11.6,20,91,117.8,111.1,6.7,109.4,98.3,11.1,-0.1,1.0,0.9,1.1,-3.0,4.0,0.6,0.6666666666666666,4,4.617647058823529,6.0
Giedraitis D.,2024-2025,24,185,24.06896551724138,5.931034482758621,29,13,20,32,52,53,2,19,31,59,11,25,68,152,44.7,40.3,78.6,47.8,53.0,54.8,13.4,137,8.4,-37,188,110.4,112.7,-2.3,114.4,106.7,7.7,0.3,1.2,1.5,-1.2,-2.3,1.1,0.3,0.4482758620689655,3,2.125,6.2
Giffey N.,2024-2025,34,200,17.782608695652176,6.304347826086956,23,12,13,32,45,20,4,4,19,61,12,29,52,91,57.1,58.0,75.0,56.1,73.1,74.0,14.2,116,11.7,37,117,126.1,122.6,3.5,125.0,115.2,9.8,0.5,0.4,0.9,-0.4,0.7,-1.0,0.4,0.5217391304347826,7,4.709677419354839,5.5
Grant J.,2024-2025,32,196,26.12121212121212,8.393939393939394,33,21,11,47,58,109,2,28,25,69,46,35,98,195,50.3,41.2,83.6,57.3,59.2,64.1,13.7,329,13.3,74,241,123.5,117.7,5.8,138.7,111.6,27.1,2.0,1.6,3.6,2.1,1.9,0.2,2.4,0.6363636363636364,5,7.371428571428571,7.4
Guduric M.,2024-2025,30,196,22.096774193548388,11.03225806451613,31,22,12,68,80,100,2,24,66,79,83,41,109,225,48.4,37.6,88.3,58.6,57.6,64.5,22.9,370,16.9,104,331,119.7,113.2,6.5,123.2,105.8,17.4,1.5,1.5,3.0,1.7,1.8,-0.1,1.6,0.7096774193548387,3,9.942857142857143,10.4
Hackett D.,2024-2025,37,197,15.64516129032258,2.4838709677419355,31,7,8,53,61,54,0,11,28,73,12,13,26,70,37.1,36.1,85.7,38.2,46.4,50.0,10.9,91,5.5,-96,105,106.1,114.9,-8.8,104.9,106.4,-1.5,0.0,0.9,0.8,-4.1,-4.3,0.2,-0.6,0.22580645161290322,10,3.3636363636363638,3.9
Hall D.,2024-2025,29,195,23.22222222222222,6.925925925925926,27,19,19,39,58,95,2,13,35,55,26,27,67,161,41.6,33.3,78.8,50.0,50.0,53.4,15.8,206,12.6,50,210,118.0,113.3,4.7,124.9,108.3,16.6,1.3,1.1,2.5,0.7,0.9,-0.3,1.1,0.7037037037037037,2,8.735294117647058,7.5
Hall D.,2024-2025,27,208,21.5,8.735294117647058,34,14,64,118,182,30,38,18,25,59,67,0,115,162,71.0,0.0,69.1,71.4,71.0,73.0,15.2,488,21.4,-78,229,114.9,119.9,-5.0,134.8,106.6,28.2,1.3,1.3,2.6,4.3,0.8,3.5,2.5,0.4117647058823529,0,9.03448275862069,7.1
Harrison S.,2024-2025,31,193,16.352941176470587,5.205882352941177,34,13,10,45,55,54,8,39,38,80,20,15,71,152,46.7,41.7,57.1,48.3,51.6,53.3,18.0,148,11.3,-102,204,111.3,118.5,-7.2,101.3,105.9,-4.6,-0.2,1.1,0.8,-1.6,-3.3,1.6,0.1,0.38235294117647056,4,7.142857142857143,5.9
