PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,PPG_ROLL3,USG_ROLL3,TS_ROLL3,NET_ROLL3,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
Brandon Miller,2023-24,21.0,200.66,32.2,17.3,74,18,4.3,2.4,0.44000000000000006,0.552,0.23500000000000001,-10.2,0.025,0.112,0.114,0.243,6.0,0.9024390243902439,17.3,17.3,0.0,0.23500000000000001,74.0,17.3,0.23500000000000001,0.552,-10.2,0.0,1,21.0,18.8
Brice Sensabaugh,2023-24,20.0,195.58,18.3,7.5,32,8,3.2,1.7,0.39,0.511,0.201,-14.2,0.027,0.151,0.134,0.25,7.0,0.3902439024390244,7.5,7.5,0.0,0.201,32.0,7.5,0.201,0.511,-14.2,0.0,1,10.9,8.2
Brook Lopez,2023-24,36.0,215.90000000000003,30.5,12.5,79,48,5.2,1.6,0.485,0.608,0.156,5.2,0.049,0.11,0.071,0.608,9.0,0.9634146341463414,15.9,12.400000000000002,-3.4000000000000004,0.187,78.0,13.533333333333333,0.18800000000000003,0.6036666666666667,4.166666666666667,1.7999999999999978,16,13.0,10.7
Bruce Brown,2023-24,27.0,193.04,27.8,10.8,67,26,4.2,2.9,0.4779999999999999,0.563,0.161,-5.8,0.028,0.126,0.132,0.388,0.0,0.8170731707317073,11.5,9.0,-0.6999999999999993,0.174,80.0,9.766666666666667,0.159,0.5833333333333333,1.3333333333333333,1.349999999999999,6,8.3,9.1
Bruno Fernando,2023-24,25.0,205.74000000000004,15.2,6.3,45,20,4.3,1.0,0.583,0.615,0.172,-6.4,0.088,0.201,0.1,0.444,2.0,0.5487804878048781,3.9,2.9,2.4,0.159,39.0,2.766666666666667,0.163,0.5723333333333334,-8.333333333333334,1.1999999999999995,5,3.4,5.2
Bryce McGowens,2023-24,21.0,198.12,14.9,5.1,59,11,1.7,0.9,0.439,0.565,0.147,-13.0,0.019,0.098,0.086,0.186,6.0,0.7195121951219512,5.3,5.3,-0.20000000000000018,0.147,46.0,5.3,0.147,0.519,-9.7,0.0,2,1.0,5.8
Buddy Hield,2023-24,31.0,193.04,25.699999999999996,12.1,84,46,3.2,2.8,0.43600000000000005,0.578,0.186,1.1,0.026999999999999996,0.09800000000000002,0.143,0.548,4.0,1.024390243902439,16.8,15.6,-4.700000000000001,0.205,80.0,16.333333333333336,0.20666666666666667,0.5763333333333334,-2.4333333333333336,0.0999999999999987,8,11.1,11.4
CJ McCollum,2023-24,32.0,190.5,32.7,20.0,66,42,4.3,4.6,0.459,0.592,0.244,3.7,0.018,0.116,0.209,0.636,5.0,0.8048780487804879,20.9,22.1,-0.8999999999999986,0.26,75.0,22.03333333333333,0.26466666666666666,0.5569999999999999,1.8,-1.100000000000004,11,21.1,18.5
Cade Cunningham,2023-24,22.0,198.12,33.5,22.7,62,9,4.3,7.5,0.449,0.546,0.298,-7.9,0.016,0.115,0.359,0.145,5.0,0.7560975609756098,19.9,17.4,2.8000000000000007,0.287,12.0,18.65,0.28,0.498,-6.1499999999999995,2.4999999999999982,3,26.1,20.9
Caleb Houstan,2023-24,21.0,203.2,13.8,4.3,59,31,1.4,0.5,0.388,0.582,0.122,-1.8,0.034,0.067,0.051,0.525,6.0,0.7195121951219512,3.8,3.8,0.5,0.107,51.0,3.8,0.107,0.508,-5.3,0.0,2,4.1,6.1
