PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,STL,BLK,TOV,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,PREV_PPG,PREV_PPG_2,PREV_USG%,PREV_GP,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
Chris Paul,2023-24,39.0,182.88,26.4,9.2,58,33,3.9,6.8,1.2,0.1,1.3,0.441,0.544,0.154,2.8,0.011,0.126,0.342,0.569,12.0,13.9,14.7,0.195,59.0,-1.2499999999999971,19,8.8,8.8
Christian Braun,2023-24,23.0,198.12,20.2,7.300000000000001,82,57,3.7000000000000006,1.6000000000000003,0.5,0.4000000000000001,0.7,0.45999999999999996,0.554,0.152,0.7,0.046,0.126,0.10900000000000001,0.695,4.0,4.7,4.7,0.127,76.0,0.0,2,15.400000000000002,9.3
Clint Capela,2023-24,30.0,208.28,25.8,11.5,73,33,10.6,1.2,0.6,1.5,1.0,0.571,0.59,0.167,-0.1,0.157,0.232,0.067,0.452,3.0,12.0,11.1,0.151,65.0,-1.6000000000000003,10,8.9,10.0
Coby White,2023-24,24.0,195.58,36.5,19.1,79,37,4.5,5.1,0.7,0.2,2.1,0.447,0.57,0.22400000000000003,-0.7,0.015000000000000001,0.11,0.204,0.468,3.0,9.7,12.7,0.17,74.0,-2.699999999999998,5,20.4,18.0
Cody Martin,2023-24,28.0,198.12000000000003,26.9,7.5,28,7,3.9,3.7,1.1,0.6,1.6,0.38099999999999995,0.46,0.157,-10.5,0.024,0.124,0.192,0.25,1.0,5.0,7.700000000000001,0.121,7.0,0.5000000000000003,5,6.8,5.8
Colby Jones,2023-24,22.0,198.12,6.4,2.1,30,15,1.3,0.7,0.2,0.2,0.3,0.394,0.422,0.178,1.5,0.076,0.11999999999999998,0.159,0.5,5.0,2.1,2.1,0.178,30.0,0.0,1,4.0,4.7
Cole Anthony,2023-24,24.0,187.96,22.4,11.6,81,47,3.8000000000000003,2.9,0.7999999999999999,0.5,1.5999999999999999,0.435,0.545,0.232,2.6,0.036,0.14,0.19999999999999998,0.58,3.0,13.0,16.3,0.209,60.0,0.049999999999999385,4,9.4,13.6
Collin Gillespie,2023-24,25.0,185.42,9.4,3.6,24,15,0.9,1.1,0.5,0.0,0.6,0.464,0.586,0.166,2.5,0.004,0.085,0.164,0.625,2.0,3.6,3.6,0.166,24.0,0.0,1,5.9,5.7
Collin Sexton,2023-24,25.0,190.5,26.6,18.7,78,29,2.6,4.9,0.8,0.2,2.1,0.487,0.607,0.267,-3.4,0.033,0.064,0.283,0.372,2.0,14.300000000000002,16.0,0.23,48.0,-4.999999999999999,6,18.4,19.5
Corey Kispert,2023-24,25.0,198.12,25.8,13.4,80,15,2.8,2.0,0.5,0.2,1.2,0.48599999999999993,0.62,0.191,-10.7,0.014000000000000002,0.091,0.11100000000000002,0.188,2.0,11.1,8.2,0.139,74.0,2.8999999999999977,3,11.6,11.7
Cory Joseph,2023-24,32.0,187.96,11.400000000000002,2.4,26,10,1.2,1.6,0.2,0.1,0.5,0.359,0.47,0.108,-3.0,0.019,0.08299999999999999,0.174,0.385,5.0,6.9,8.0,0.149,62.0,-0.649999999999999,13,3.5,3.7
Craig Porter Jr.,2023-24,24.0,185.42,12.7,5.6,51,30,2.1,2.3,0.4,0.3,0.9,0.509,0.564,0.201,-1.6,0.035,0.138,0.265,0.588,3.0,5.6,5.6,0.201,51.0,0.0,1,3.7,6.9
D'Angelo Russell,2023-24,28.0,190.5,32.7,18.0,76,46,3.1,6.3,0.9,0.5,2.1,0.45599999999999996,0.588,0.222,2.6,0.012,0.079,0.261,0.605,1.0,17.8,18.1,0.225,71.0,-0.6000000000000002,9,12.6,17.0
Dalano Banton,2023-24,24.0,203.2,19.4,10.3,54,24,3.3,2.4,0.6,0.4,1.4,0.404,0.504,0.25,-10.2,0.036,0.13,0.2,0.444,3.0,4.6,3.2,0.229,31.0,1.3999999999999986,3,8.3,8.9
Dalen Terry,2023-24,21.0,200.66,11.5,3.1,59,27,1.9,1.4,0.5,0.3,0.5,0.439,0.512,0.127,2.2,0.042,0.124,0.151,0.458,6.0,2.2,2.2,0.173,38.0,0.0,2,4.5,6.6
Damian Lillard,2023-24,33.0,187.96,35.3,24.3,73,48,4.4,7.0,1.0,0.2,2.6,0.424,0.59,0.274,6.9,0.014,0.102,0.284,0.658,6.0,32.2,24.0,0.331,58.0,1.6999999999999986,12,24.9,23.7
Daniel Gafford,2023-24,25.0,208.28,24.5,11.0,74,30,7.6,1.6,0.9000000000000001,2.1,1.0,0.725,0.731,0.145,-2.2,0.105,0.186,0.083,0.405,2.0,9.0,9.4,0.146,78.0,1.0000000000000007,5,12.3,10.2
Daniel Theis,2023-24,32.0,203.2,16.9,6.3,60,38,4.1,1.0,0.4,0.9,0.7,0.532,0.597,0.15,2.4,0.084,0.15,0.081,0.6330000000000001,5.0,7.0,8.2,0.201,7.0,-1.300000000000001,7,4.3,5.2
Dante Exum,2023-24,28.0,195.58,19.8,7.8,55,36,2.7,2.9,0.4,0.1,0.9,0.533,0.645,0.14799999999999996,10.3,0.023,0.10799999999999998,0.181,0.655,1.0,3.7999999999999994,4.5,0.119,6.0,-1.5500000000000012,7,8.7,7.2
Darius Garland,2023-24,24.0,185.42000000000002,33.3,18.0,57,31,2.7,6.5,1.3,0.1,3.1,0.446,0.56,0.249,2.1,0.017,0.064,0.295,0.544,3.0,21.6,21.7,0.262,69.0,2.1000000000000014,5,20.6,19.6
David Roddy,2023-24,23.0,193.04,18.1,6.5,65,25,3.2,1.2,0.4,0.2,0.9,0.403,0.484,0.177,-9.3,0.042,0.134,0.102,0.385,4.0,6.7,6.7,0.163,70.0,0.0,2,4.6,7.1
Davion Mitchell,2023-24,25.0,182.88,15.300000000000002,5.3,72,41,1.3,1.8999999999999997,0.2,0.0,0.6,0.45200000000000007,0.555,0.147,-2.6,0.017,0.071,0.168,0.569,2.0,5.6,11.5,0.14,80.0,-5.900000000000001,3,7.9,6.7
Day'Ron Sharpe,2023-24,22.0,205.74,15.1,6.8,61,25,6.4,1.4,0.4,0.7,1.1,0.571,0.596,0.185,4.8,0.163,0.235,0.137,0.41,5.0,4.7,6.2,0.17299999999999996,48.0,-1.5000000000000016,3,7.9,7.6
De'Aaron Fox,2023-24,26.0,190.5,35.9,26.6,74,42,4.6,5.6,2.0,0.4,2.6,0.465,0.567,0.3,4.3,0.024,0.104,0.24400000000000002,0.568,1.0,25.0,23.2,0.288,73.0,-0.09999999999999884,7,23.5,26.3
De'Andre Hunter,2023-24,26.0,203.2,29.5,15.6,57,26,3.9,1.5,0.7,0.3,1.5,0.459,0.595,0.20400000000000001,-1.3,0.018000000000000002,0.116,0.073,0.456,1.0,15.399999999999999,13.4,0.193,67.0,0.19999999999999934,5,17.0,14.4
DeAndre Jordan,2023-24,35.0,210.82,11.0,3.9000000000000004,36,24,4.4,0.7,0.2,0.4,0.6,0.624,0.61,0.147,-10.7,0.126,0.237,0.098,0.667,8.0,5.1,4.3,0.134,39.0,-1.199999999999999,16,3.7,3.1
DeMar DeRozan,2023-24,34.0,198.12,37.8,24.0,79,37,4.3,5.3,1.1,0.6,1.6999999999999997,0.48000000000000004,0.584,0.252,-1.0,0.014000000000000002,0.101,0.22,0.468,7.0,24.5,27.900000000000002,0.272,74.0,1.4500000000000006,15,22.2,21.4
Dean Wade,2023-24,27.0,205.74,20.5,5.4,54,36,4.0,0.8,0.7,0.5,0.4,0.414,0.598,0.101,8.3,0.033,0.15400000000000003,0.052,0.667,0.0,4.7,5.3,0.1,44.0,-0.6499999999999998,5,5.4,4.8
Deandre Ayton,2023-24,25.0,213.36,32.4,16.7,55,14,11.1,1.6,1.0,0.8,1.8,0.57,0.587,0.21100000000000002,-8.7,0.096,0.25,0.086,0.255,2.0,18.0,17.2,0.231,67.0,1.8000000000000014,6,14.4,15.6
Dejounte Murray,2023-24,27.0,195.58,35.7,22.5,78,34,5.3,6.4,1.4,0.3,2.6,0.459,0.555,0.259,-2.7,0.021,0.13,0.274,0.43600000000000005,0.0,20.5,21.1,0.239,74.0,2.400000000000002,7,17.5,21.7
Delon Wright,2023-24,32.0,195.58,15.8,4.5,47,16,1.8000000000000003,2.5,1.1,0.2,0.3,0.394,0.505,0.127,1.0,0.025,0.089,0.213,0.34,5.0,7.4,4.4,0.125,50.0,-1.3999999999999995,9,3.1,4.2
Deni Avdija,2023-24,23.0,205.74,30.1,14.7,75,14,7.2,3.8,0.8,0.5,2.1,0.506,0.597,0.196,-6.5,0.036,0.192,0.174,0.187,4.0,9.2,8.4,0.165,76.0,1.449999999999999,4,16.9,13.1
Dennis Schröder,2023-24,30.0,185.42000000000002,31.1,14.0,80,30,3.0,6.1,0.8,0.2,1.9,0.43499999999999994,0.55,0.202,-2.8,0.015,0.082,0.281,0.375,3.0,12.6,13.5,0.183,66.0,-1.4000000000000024,11,13.1,11.1
Dereck Lively II,2023-24,20.0,215.9,23.5,8.8,55,35,6.9,1.1,0.7,1.4,0.9,0.747,0.728,0.124,5.0,0.106,0.179,0.06,0.6360000000000001,7.0,8.8,8.8,0.124,55.0,0.0,1,8.7,11.2
Derrick Jones Jr.,2023-24,27.0,198.12,23.5,8.6,76,47,3.3,1.0,0.7,0.7,0.9,0.483,0.592,0.146,1.7,0.045,0.089,0.05499999999999999,0.618,0.0,5.0,5.6,0.138,64.0,-0.8999999999999999,8,10.1,8.4
Derrick White,2023-24,29.0,193.04,32.6,15.2,73,58,4.2,5.2,1.0,1.2,1.5,0.46099999999999997,0.611,0.183,12.5,0.022,0.1,0.209,0.795,2.0,12.4,13.2,0.174,82.0,-1.4999999999999971,7,16.4,14.4
Desmond Bane,2023-24,26.0,195.58,34.4,23.7,42,14,4.4,5.5,1.0,0.5,2.7,0.46399999999999997,0.589,0.273,-7.200000000000001,0.023,0.10399999999999998,0.272,0.333,1.0,21.5,18.2,0.252,58.0,6.15,4,19.2,23.1
Devin Booker,2023-24,27.0,198.12,36.0,27.1,68,43,4.5,6.9,0.9,0.4,2.6,0.49200000000000005,0.611,0.289,5.8,0.024,0.098,0.299,0.632,0.0,27.8,26.8,0.311,53.0,1.1000000000000005,9,25.6,27.8
Devin Vassell,2023-24,23.0,195.58,33.1,19.5,68,17,3.8,4.1,1.1,0.3,1.6,0.472,0.578,0.229,-6.0,0.012,0.102,0.192,0.25,4.0,18.5,12.3,0.24,38.0,6.499999999999998,4,16.3,19.7
Dillon Brooks,2023-24,28.0,198.12,30.899999999999995,12.7,72,36,3.4,1.7,0.8999999999999999,0.1,1.2,0.428,0.549,0.176,0.0,0.023,0.084,0.074,0.5,1.0,14.3,18.4,0.214,73.0,-1.4499999999999982,7,14.0,12.0
Domantas Sabonis,2023-24,28.0,208.28,35.7,19.4,82,46,13.699999999999998,8.2,0.8999999999999999,0.6,3.2999999999999994,0.594,0.637,0.22,0.8000000000000002,0.097,0.295,0.334,0.561,1.0,19.1,18.9,0.21299999999999997,79.0,-0.5999999999999995,8,19.1,18.3
Dominick Barlow,2023-24,21.0,205.74,12.7,4.4,33,7,3.4,1.1,0.4,0.4,0.3,0.49599999999999994,0.548,0.139,-4.5,0.098,0.167,0.114,0.212,6.0,3.9,3.9,0.107,28.0,0.0,2,4.2,5.4
Donovan Mitchell,2023-24,27.0,190.5,35.3,26.6,55,36,5.1,6.1,1.8,0.5,2.8,0.462,0.595,0.301,7.3,0.024,0.11599999999999999,0.268,0.655,0.0,28.3,25.9,0.31,68.0,0.950000000000002,7,24.0,28.0
Donte DiVincenzo,2023-24,27.0,193.04,29.099999999999998,15.5,81,50,3.6999999999999997,2.7,1.3,0.39999999999999997,1.4,0.44300000000000006,0.597,0.209,3.6999999999999997,0.026,0.10199999999999998,0.133,0.617,0.0,9.4,9.0,0.146,72.0,-0.5000000000000008,6,11.7,15.2
Dorian Finney-Smith,2023-24,31.0,200.66,28.4,8.5,68,28,4.7,1.6,0.8,0.6,0.9,0.421,0.546,0.132,-2.2,0.053,0.107,0.077,0.412,4.0,8.3,11.0,0.129,66.0,-0.7499999999999983,8,8.7,6.8
Doug McDermott,2023-24,32.0,198.12,14.1,5.5,64,22,0.9,1.1,0.3,0.0,0.4,0.433,0.6,0.144,-9.3,0.011,0.054,0.097,0.344,5.0,10.2,11.3,0.186,64.0,-1.7000000000000008,10,3.5,4.4
Draymond Green,2023-24,34.0,198.12,27.1,8.6,55,33,7.2,6.0,1.0,0.9,2.5,0.497,0.587,0.14799999999999996,4.9,0.05,0.2,0.276,0.6,7.0,8.5,7.5,0.129,73.0,0.7500000000000002,12,9.0,6.3
Drew Eubanks,2023-24,27.0,208.28,15.6,5.1,75,42,4.3,0.8,0.4,0.8,0.8,0.601,0.645,0.129,-4.1,0.09,0.176,0.079,0.56,0.0,6.6,7.700000000000001,0.122,78.0,0.39999999999999925,6,4.6,5.9
Duncan Robinson,2023-24,30.0,200.66,28.0,12.9,68,38,2.5,2.8,0.7,0.2,1.4,0.45,0.612,0.184,0.5,0.008,0.084,0.151,0.559,3.0,6.4,10.9,0.172,42.0,-3.3499999999999996,6,11.0,11.0
Duop Reath,2023-24,28.0,205.74,17.9,9.1,68,17,3.7,1.0,0.5,0.6,0.8,0.461,0.571,0.202,-7.1,0.069,0.138,0.088,0.25,1.0,9.1,9.1,0.202,68.0,0.0,1,4.2,8.0
Dwight Powell,2023-24,32.0,208.28,13.3,3.3,63,38,3.4,1.3,0.4,0.3,0.5,0.679,0.716,0.087,0.3,0.109,0.139,0.128,0.603,5.0,6.7,8.7,0.12299999999999998,76.0,0.40000000000000113,10,2.1,3.4
Dyson Daniels,2023-24,21.0,200.66,22.3,5.8,61,34,3.9,2.7,1.4,0.4,1.0,0.447,0.529,0.123,3.3,0.046,0.126,0.157,0.557,6.0,3.8,3.8,0.113,59.0,0.0,2,14.1,8.3
Eric Gordon,2023-24,35.0,190.5,27.8,11.0,68,41,1.8,2.0,1.0,0.4,1.1,0.443,0.58,0.162,3.5,0.009,0.052,0.1,0.603,8.0,12.4,13.4,0.171,69.0,-2.6999999999999993,16,6.8,9.2
Evan Mobley,2023-24,23.0,210.82,30.6,15.7,50,29,9.4,3.2,0.9,1.4,1.8,0.58,0.626,0.2,1.2,0.074,0.221,0.155,0.58,4.0,16.2,15.0,0.199,79.0,1.1999999999999975,3,18.5,16.6
Franz Wagner,2023-24,22.0,208.28,32.5,19.7,72,44,5.3,3.7000000000000006,1.1,0.4,1.8999999999999997,0.482,0.575,0.25,4.3,0.031000000000000003,0.137,0.183,0.611,5.0,18.6,15.2,0.23000000000000004,80.0,3.3999999999999995,3,24.2,20.8
Fred VanVleet,2023-24,30.0,182.88,36.8,17.4,73,38,3.8,8.1,1.4,0.8,1.7,0.416,0.568,0.194,3.0,0.012,0.089,0.312,0.521,3.0,19.3,20.3,0.225,69.0,-0.150000000000002,8,14.1,15.4
GG Jackson,2023-24,19.0,205.74,25.7,14.6,48,14,4.1,1.2,0.6,0.5,1.3999999999999997,0.428,0.554,0.238,-7.099999999999999,0.04,0.114,0.082,0.292,8.0,14.6,14.6,0.238,48.0,0.0,1,7.2,15.1
Garrett Temple,2023-24,38.0,195.58000000000004,10.7,3.3,27,5,1.7,1.0,0.4,0.1,0.5,0.372,0.502,0.147,-13.1,0.058,0.093,0.14,0.185,11.0,2.0,5.2,0.12300000000000001,25.0,-2.7999999999999994,14,1.9,3.3
Garrison Mathews,2023-24,27.0,198.12,15.0,4.9,66,29,1.4,0.6,0.3,0.1,0.3,0.456,0.665,0.11,-4.0,0.017,0.079,0.049,0.439,0.0,4.8,10.0,0.139,54.0,-0.3499999999999992,5,7.5,5.3
Gary Harris,2023-24,29.0,193.04,24.0,6.9,54,35,1.7,1.6,0.9,0.3,0.6,0.441,0.587,0.114,3.3,0.019,0.055,0.08999999999999998,0.6480000000000001,2.0,8.3,11.1,0.125,48.0,-0.7999999999999994,10,3.0,6.4
Gary Payton II,2023-24,31.0,187.96,15.5,5.5,44,27,2.6,1.1,0.9,0.4,0.6,0.563,0.621,0.13,5.8,0.066,0.09699999999999999,0.094,0.614,4.0,4.6,7.1,0.10099999999999999,22.0,1.0499999999999998,8,6.5,5.4
Gary Trent Jr.,2023-24,25.0,195.58,28.1,13.7,71,24,2.6,1.7,1.1,0.1,0.7,0.426,0.548,0.195,-4.6,0.012,0.083,0.084,0.338,2.0,17.4,18.3,0.209,66.0,1.050000000000001,6,11.1,12.5
Georges Niang,2023-24,31.0,200.66,22.3,9.4,82,48,3.4000000000000004,1.2,0.4000000000000001,0.20000000000000004,0.8999999999999999,0.44899999999999995,0.583,0.173,0.6,0.012,0.138,0.075,0.585,4.0,8.2,9.2,0.162,78.0,0.6499999999999996,8,9.9,8.6
Giannis Antetokounmpo,2023-24,29.0,210.82,35.2,30.4,73,45,11.5,6.5,1.2,1.1,3.4,0.611,0.649,0.32,6.6,0.077,0.237,0.314,0.616,2.0,31.1,29.9,0.373,63.0,1.5000000000000016,11,30.4,28.6
Goga Bitadze,2023-24,24.0,208.28,15.4,5.0,62,34,4.6,1.3,0.5,1.2,0.7,0.603,0.629,0.129,1.8,0.11,0.187,0.117,0.5479999999999999,3.0,4.4,7.0,0.147,38.0,-0.34999999999999926,5,7.2,6.5
Gradey Dick,2023-24,20.0,198.12,21.1,8.5,60,18,2.2,1.1,0.6,0.0,0.8,0.425,0.546,0.167,-13.9,0.02,0.085,0.078,0.3,7.0,8.5,8.5,0.167,60.0,0.0,1,14.4,9.4
Grayson Allen,2023-24,28.0,193.04,33.5,13.5,75,45,3.9,3.0,0.9,0.6,1.3,0.49899999999999994,0.679,0.143,5.1,0.021,0.094,0.117,0.6,1.0,10.4,11.1,0.143,72.0,-0.10000000000000077,6,10.6,12.2
Gui Santos,2023-24,22.0,198.12,8.4,3.6,23,17,2.1,0.6,0.2,0.1,0.3,0.509,0.656,0.142,3.4,0.079,0.153,0.09699999999999999,0.739,5.0,3.6,3.6,0.142,23.0,0.0,1,4.1,5.5
Harrison Barnes,2023-24,32.0,203.19999999999996,29.0,12.2,82,46,3.0,1.2,0.7,0.10000000000000002,0.7,0.4739999999999999,0.611,0.154,-1.7000000000000002,0.027,0.079,0.05600000000000001,0.561,5.0,15.0,16.4,0.168,82.0,-0.5500000000000013,12,12.3,10.6
Haywood Highsmith,2023-24,27.0,195.58,20.7,6.1,66,39,3.2,1.1,0.8,0.5,0.5,0.465,0.587,0.121,1.1,0.048,0.107,0.074,0.591,0.0,4.4,2.3,0.121,54.0,1.2999999999999998,4,6.5,6.0
Herbert Jones,2023-24,25.0,200.66,30.5,11.0,76,46,3.6,2.6,1.4,0.8,1.2,0.498,0.636,0.141,5.5,0.033,0.084,0.112,0.605,2.0,9.8,9.5,0.144,66.0,0.2999999999999994,3,10.3,11.9
Immanuel Quickley,2023-24,25.0,187.96,29.2,17.0,68,28,3.8,4.9,0.7,0.1,1.5,0.434,0.577,0.233,-1.0,0.008,0.12,0.245,0.412,2.0,14.9,11.3,0.203,81.0,1.7499999999999991,4,17.1,16.4
Isaac Okoro,2023-24,23.0,195.58,27.3,9.4,69,41,3.0,1.9,0.8,0.5,0.8,0.49000000000000005,0.599,0.136,2.4,0.036,0.072,0.095,0.594,4.0,6.4,8.8,0.11700000000000002,76.0,-1.6000000000000003,4,6.1,11.5
Isaiah Hartenstein,2023-24,26.0,213.36,25.3,7.8,75,47,8.3,2.5,1.2,1.1,1.2,0.644,0.67,0.11600000000000002,10.0,0.129,0.201,0.127,0.627,1.0,5.0,8.3,0.10699999999999998,82.0,-0.04999999999999944,6,11.2,7.0
Isaiah Joe,2023-24,24.0,190.5,18.5,8.2,78,54,2.3,1.3,0.6,0.3,0.6,0.4580000000000001,0.626,0.157,9.1,0.022,0.098,0.093,0.692,3.0,9.5,3.6,0.17,73.0,2.899999999999998,4,10.2,9.8
Isaiah Stewart,2023-24,23.0,203.2,30.9,10.9,46,9,6.6,1.6,0.4,0.8,1.4,0.48700000000000004,0.6,0.143,-4.2,0.05299999999999999,0.161,0.069,0.196,4.0,11.3,8.3,0.17,50.0,1.6999999999999997,4,6.0,9.3
Ivica Zubac,2023-24,27.0,213.36,26.4,11.7,68,42,9.2,1.4,0.3,1.2,1.2,0.649,0.671,0.165,4.7,0.117,0.235,0.075,0.618,0.0,10.8,10.3,0.149,76.0,0.8999999999999999,8,16.8,10.5
JT Thor,2023-24,21.0,205.74,12.4,3.2,63,16,2.3,0.5,0.2,0.4,0.2,0.437,0.519,0.113,-3.2,0.053,0.132,0.052,0.254,6.0,3.8,2.0,0.13,69.0,1.7999999999999994,3,3.6,4.7
Jabari Smith Jr.,2023-24,21.0,210.82,31.900000000000002,13.700000000000001,76,39,8.1,1.6,0.7,0.8,1.2,0.45399999999999996,0.571,0.174,-1.9000000000000001,0.05299999999999999,0.191,0.071,0.513,6.0,12.8,12.8,0.183,79.0,0.0,2,12.2,17.1
Jabari Walker,2023-24,21.0,200.66,23.6,8.9,72,18,7.1,1.0,0.6,0.3,0.8999999999999999,0.4600000000000001,0.546,0.159,-9.5,0.082,0.222,0.062000000000000006,0.25,6.0,3.9,3.9,0.164,56.0,0.0,2,5.2,9.1
Jaden Hardy,2023-24,21.0,190.5,13.6,7.3,73,44,1.8,1.5,0.3,0.1,0.8,0.407,0.517,0.238,-6.5,0.019,0.10999999999999999,0.17,0.603,6.0,8.8,8.8,0.248,48.0,0.0,2,8.7,10.2
Jaden Ivey,2023-24,22.0,193.04,28.799999999999997,15.399999999999999,77,14,3.4000000000000004,3.7999999999999994,0.7,0.5,2.5,0.429,0.536,0.244,-7.699999999999999,0.038,0.081,0.196,0.182,5.0,16.3,16.3,0.251,74.0,0.0,2,17.6,14.5
Jaden McDaniels,2023-24,23.0,205.74,29.200000000000003,10.5,72,48,3.1,1.4,0.8999999999999999,0.6,1.2,0.489,0.571,0.156,3.7999999999999994,0.028,0.078,0.067,0.667,4.0,12.1,9.2,0.156,79.0,2.649999999999998,4,12.2,12.0
Jaden Springer,2023-24,21.0,193.04,10.3,3.3,49,32,1.6,0.9,0.7,0.3,0.7,0.399,0.48999999999999994,0.167,-0.5,0.064,0.09300000000000001,0.12100000000000001,0.653,6.0,2.6,1.0,0.188,16.0,1.5999999999999994,3,2.5,7.5
Jae'Sean Tate,2023-24,28.0,193.04,15.9,4.1,65,32,3.0,1.0,0.6,0.2,0.6,0.472,0.538,0.115,5.1,0.055,0.127,0.085,0.492,1.0,9.1,11.8,0.178,31.0,-1.1,4,3.6000000000000005,5.3
Jaime Jaquez Jr.,2023-24,23.0,198.12,28.2,11.9,75,44,3.8,2.6,1.0,0.3,1.5,0.48899999999999993,0.574,0.181,2.8,0.039,0.094,0.137,0.587,4.0,11.9,11.9,0.181,75.0,0.0,1,8.6,13.7
Jake LaRavia,2023-24,22.0,200.66,23.0,10.8,35,8,3.7,1.7,0.8,0.3,1.3,0.389,0.54,0.201,-6.7,0.056,0.093,0.11600000000000002,0.229,5.0,3.0,3.0,0.11700000000000002,35.0,0.0,2,6.9,9.4
Jakob Poeltl,2023-24,28.0,213.36,26.4,11.1,50,21,8.6,2.5,0.7,1.5,1.5,0.6560000000000001,0.653,0.16,-0.6,0.11,0.214,0.131,0.42,1.0,12.5,13.5,0.18,72.0,1.9499999999999986,8,14.5,9.0
Jalen Brunson,2023-24,27.0,187.96,35.4,28.700000000000003,77,49,3.5999999999999996,6.699999999999999,0.8999999999999999,0.2,2.4,0.4789999999999999,0.592,0.311,8.6,0.015000000000000001,0.088,0.315,0.636,0.0,24.0,16.3,0.266,68.0,5.699999999999999,6,26.0,24.4
Jalen Duren,2023-24,20.0,208.28,29.1,13.8,61,13,11.6,2.4,0.5,0.8,2.1,0.619,0.653,0.181,-7.6,0.105,0.285,0.123,0.213,7.0,9.1,9.1,0.139,67.0,0.0,2,11.8,16.4
Jalen Green,2023-24,22.0,193.04,31.700000000000003,19.6,82,41,5.2,3.5,0.8000000000000002,0.3,2.3,0.423,0.541,0.27,0.0,0.015,0.143,0.17,0.5,5.0,22.1,17.3,0.274,76.0,4.799999999999995,3,21.0,21.9
Jalen Johnson,2023-24,22.0,203.2,33.7,16.0,56,27,8.7,3.6,1.2,0.8,1.8,0.511,0.584,0.184,-1.9,0.036,0.211,0.154,0.48199999999999993,5.0,5.6,2.4,0.156,70.0,3.199999999999998,3,18.9,16.7
Jalen Pickett,2023-24,24.0,187.96,4.5,1.6,27,20,0.5,0.8,0.1,0.0,0.3,0.429,0.571,0.164,-2.4,0.009,0.1,0.25,0.7410000000000001,3.0,1.6,1.6,0.164,27.0,0.0,1,4.1,4.0
Jalen Smith,2023-24,24.0,205.74,17.2,9.9,61,36,5.5,1.0,0.3,0.6,0.7,0.5919999999999999,0.682,0.187,1.0,0.104,0.219,0.078,0.59,3.0,9.4,9.2,0.201,68.0,3.7,4,8.2,10.0
Jalen Suggs,2023-24,23.0,195.58,27.0,12.6,75,43,3.1,2.7,1.4,0.6,1.8,0.4709999999999999,0.602,0.191,1.0,0.024,0.095,0.147,0.573,4.0,9.9,11.800000000000002,0.196,53.0,-1.9000000000000032,3,16.2,15.7
Jalen Williams,2023-24,23.0,195.58,31.300000000000004,19.1,71,51,4.0,4.5,1.1,0.6,1.7,0.54,0.621,0.232,8.8,0.017,0.102,0.202,0.718,4.0,14.1,14.1,0.18,75.0,0.0,2,21.6,20.7
Jalen Wilson,2023-24,23.0,198.12,15.5,5.0,43,14,3.0,1.0,0.3,0.09999999999999999,0.39999999999999997,0.425,0.537,0.138,-1.5999999999999999,0.068,0.128,0.095,0.326,4.0,5.0,5.0,0.138,43.0,0.0,1,9.5,5.3
Jamal Cain,2023-24,25.0,198.12,10.0,3.7,26,14,1.4,0.4,0.4,0.2,0.3,0.43,0.544,0.15799999999999997,-3.3999999999999995,0.058,0.087,0.056,0.538,2.0,5.4,5.4,0.139,18.0,0.0,2,5.3,5.6
Jamal Murray,2023-24,27.0,193.04,31.5,21.2,59,44,4.1,6.5,1.0,0.7,2.1,0.481,0.586,0.2730000000000001,8.2,0.023999999999999997,0.105,0.296,0.746,0.0,20.0,21.2,0.256,65.0,0.7500000000000017,7,21.4,21.7
