PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,STL,BLK,TOV,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,PREV_PPG,PREV_PPG_2,PREV_USG%,PREV_GP,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
James Harden,2023-24,34.0,195.58,34.3,16.6,72,46,5.1,8.5,1.1,0.8,2.6,0.428,0.612,0.202,5.6,0.015000000000000001,0.134,0.338,0.639,7.0,21.0,22.0,0.247,58.0,-1.800000000000001,15,22.8,16.1
Jarace Walker,2023-24,20.0,200.66,10.3,3.6,33,18,1.9,1.2,0.5,0.3,0.5,0.409,0.527,0.155,2.7,0.036,0.159,0.138,0.545,7.0,3.6,3.6,0.155,33.0,0.0,1,6.1,6.3
Jared Butler,2023-24,23.0,190.5,14.1,6.3,40,6,1.5,3.2,0.7,0.2,1.3,0.488,0.579,0.194,-3.8,0.015,0.083,0.321,0.15,4.0,6.2,3.8,0.208,6.0,2.399999999999999,3,9.0,6.9
Jaren Jackson Jr.,2023-24,24.0,208.28,32.2,22.5,66,22,5.5,2.3,1.2,1.6,2.4,0.444,0.553,0.302,-7.3,0.037,0.132,0.133,0.333,3.0,18.6,16.3,0.243,63.0,2.1000000000000028,6,22.2,19.8
Jarred Vanderbilt,2023-24,25.0,203.2,20.0,5.2,29,14,4.8,1.2,1.2,0.2,1.0,0.518,0.5780000000000001,0.111,4.2,0.073,0.164,0.077,0.483,2.0,7.9,6.9,0.136,78.0,1.2499999999999993,6,4.1,5.3
Jarrett Allen,2023-24,26.0,205.74,31.700000000000003,16.5,77,46,10.5,2.7,0.7,1.1,1.6,0.634,0.664,0.191,4.8,0.103,0.23100000000000004,0.128,0.597,1.0,14.3,16.1,0.162,68.0,0.7499999999999987,7,13.5,15.7
Jaxson Hayes,2023-24,24.0,213.36,12.5,4.3,70,41,3.0,0.5,0.5,0.4,0.6,0.72,0.718,0.12099999999999998,-4.7,0.083,0.149,0.051,0.586,3.0,5.0,9.3,0.149,47.0,-1.2499999999999991,5,6.8,5.3
Jaylen Brown,2023-24,27.0,198.12,33.5,23.0,70,52,5.5,3.6,1.2,0.5,2.4,0.499,0.58,0.283,8.7,0.037,0.119,0.165,0.743,0.0,26.6,23.6,0.307,67.0,0.9499999999999995,8,22.2,23.6
Jaylin Williams,2023-24,22.0,205.74,13.0,4.0,69,48,3.4,1.6,0.4,0.4,0.5,0.417,0.561,0.133,6.8,0.041,0.216,0.162,0.696,5.0,5.9,5.9,0.133,49.0,0.0,2,5.9,7.4
Jayson Tatum,2023-24,26.0,203.2,35.7,26.9,74,57,8.1,4.9,1.0,0.6,2.5,0.471,0.604,0.296,11.2,0.026,0.187,0.211,0.77,1.0,30.1,26.9,0.319,74.0,1.850000000000004,7,26.8,27.3
Jeff Dowtin Jr.,2023-24,27.0,190.5,11.800000000000002,4.3,12,7,1.7,2.3,0.6,0.10000000000000002,0.4000000000000001,0.556,0.689,0.124,6.8,0.02,0.114,0.262,0.583,0.0,2.4,2.1,0.106,25.0,0.2999999999999994,3,7.0,4.2
Jeff Green,2023-24,37.0,203.2,16.8,6.5,78,39,2.3,0.9,0.2,0.4,0.6,0.45599999999999996,0.59,0.152,-2.9,0.033,0.099,0.079,0.5,10.0,7.8,10.3,0.167,56.0,-1.6,16,5.4,5.3
Jerami Grant,2023-24,30.0,200.66,33.9,21.0,54,17,3.5,2.8,0.8,0.6,2.1,0.451,0.573,0.255,-9.6,0.019,0.087,0.138,0.315,3.0,20.5,19.2,0.227,63.0,-0.8999999999999996,10,14.400000000000002,16.2
Jeremiah Robinson-Earl,2023-24,23.0,203.2,8.6,2.9,39,22,1.9,0.5,0.3,0.1,0.4,0.47400000000000003,0.564,0.144,-1.9,0.067,0.151,0.091,0.564,4.0,6.8,7.5,0.143,43.0,-0.7000000000000011,3,6.3,6.0
Jeremy Sochan,2023-24,21.0,203.2,29.6,11.6,74,18,6.4,3.4,0.8,0.5,1.9,0.438,0.513,0.187,-7.0,0.05999999999999999,0.153,0.161,0.243,6.0,11.0,11.0,0.195,56.0,0.0,2,11.4,13.0
Jericho Sims,2023-24,25.0,208.28,13.0,2.0,45,30,3.3,0.6,0.2,0.4,0.4,0.691,0.702,0.05999999999999999,-0.7,0.092,0.153,0.059,0.667,2.0,3.3999999999999995,2.2,0.074,52.0,1.1999999999999988,3,1.8,2.9
Jevon Carter,2023-24,28.0,185.42000000000002,13.9,5.0,72,35,0.8,1.3,0.5,0.2,0.5,0.378,0.48500000000000004,0.168,1.4,0.01,0.049,0.129,0.486,1.0,8.0,4.2,0.149,81.0,1.949999999999999,6,4.3,5.8
Jimmy Butler III,2023-24,34.0,200.66,34.0,20.8,60,33,5.3,5.0,1.3,0.3,1.7,0.499,0.626,0.235,5.5,0.054,0.106,0.228,0.55,7.0,22.9,21.4,0.248,64.0,0.7000000000000005,13,17.5,19.2
Jock Landale,2023-24,28.0,210.82,13.6,4.9,56,28,3.1,1.2,0.4,0.6,0.6,0.515,0.584,0.139,9.6,0.106,0.102,0.113,0.5,1.0,6.6,4.9,0.182,69.0,1.6999999999999982,3,4.8,4.5
John Collins,2023-24,26.0,205.74,28.0,15.1,68,27,8.5,1.1,0.6,0.9,1.4,0.532,0.621,0.199,-7.5,0.079,0.222,0.06,0.397,1.0,13.1,16.2,0.168,71.0,-2.2499999999999982,7,19.0,13.7
John Konchar,2023-24,28.0,195.58,21.3,4.3,55,18,4.7,2.0,0.9,0.9,0.8,0.423,0.537,0.096,-5.9,0.057999999999999996,0.16399999999999998,0.13,0.327,1.0,5.1,4.8,0.1,72.0,0.4000000000000003,5,2.4,4.0
Johnny Davis,2023-24,22.0,193.04,12.3,3.0,50,8,1.4,0.6,0.4,0.2,0.3,0.403,0.462,0.117,-10.3,0.027000000000000003,0.088,0.068,0.16,5.0,5.8,5.8,0.192,28.0,0.0,2,2.4,4.5
Johnny Juzang,2023-24,23.0,195.58,18.6,7.2,20,5,1.8,1.2,0.2,0.1,0.7,0.4640000000000001,0.62,0.147,-1.8,0.018,0.073,0.086,0.25,4.0,4.8,4.8,0.187,18.0,0.0,2,8.9,6.3
Jonas Valančiūnas,2023-24,32.0,210.81999999999996,23.5,12.2,82,49,8.8,2.1,0.4000000000000001,0.8000000000000002,1.4,0.559,0.619,0.207,3.9000000000000004,0.10000000000000002,0.272,0.128,0.598,5.0,14.099999999999998,17.8,0.229,79.0,-1.5000000000000009,12,10.4,11.1
Jonathan Isaac,2023-24,26.0,208.28,15.8,6.8,58,35,4.5,0.5,0.7,1.2,0.5,0.51,0.6100000000000001,0.15999999999999998,10.9,0.083,0.201,0.047,0.603,1.0,5.0,11.9,0.19799999999999998,11.0,-2.3000000000000007,5,5.4,7.1
Jonathan Kuminga,2023-24,21.0,200.66,26.3,16.1,74,40,4.8,2.2,0.7,0.5,1.6,0.529,0.598,0.23700000000000002,2.9,0.047,0.126,0.123,0.541,6.0,9.9,9.3,0.195,67.0,0.5999999999999979,3,15.3,19.4
Jordan Clarkson,2023-24,32.0,190.5,30.6,17.1,55,22,3.4,5.0,0.6,0.1,2.7,0.413,0.521,0.255,-5.7,0.028,0.083,0.24699999999999997,0.4,5.0,20.8,16.0,0.273,61.0,1.2000000000000008,10,16.2,13.3
Jordan Goodwin,2023-24,25.0,193.04,18.5,6.5,57,30,4.4,2.7,0.8,0.3,1.0,0.369,0.451,0.18200000000000002,-4.1,0.077,0.151,0.219,0.526,2.0,6.6,0.0,0.165,62.0,6.599999999999998,3,5.6,6.3
Jordan Hawkins,2023-24,22.0,195.58,17.3,7.800000000000001,67,38,2.2,1.0,0.3,0.1,0.6,0.382,0.533,0.188,-0.9,0.024,0.1,0.084,0.567,5.0,7.800000000000001,7.800000000000001,0.188,67.0,0.0,1,10.8,9.8
