PLAYER,SEASON,AGE,MPG,PPG,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,GP,W,+/-,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Hackett D.,2024-2025,37,15.64516129032258,2.4838709677419355,61,54,0,11,28,73,12,13,31,7,-96,0.22580645161290322,10,3.3636363636363638,2.7
Hall D.,2024-2025,29,23.22222222222222,6.925925925925926,58,95,2,13,35,55,26,27,27,19,50,0.7037037037037037,2,8.735294117647058,7.7
Hall D.,2024-2025,27,21.5,8.735294117647058,182,30,38,18,25,59,67,0,34,14,-78,0.4117647058823529,0,9.03448275862069,7.2
Harrison S.,2024-2025,31,16.352941176470587,5.205882352941177,55,54,8,39,38,80,20,15,34,13,-102,0.38235294117647056,4,7.142857142857143,7.1
Hayes Davis N.,2024-2025,30,31.11764705882353,16.823529411764707,178,50,9,39,51,72,99,85,34,23,43,0.6764705882352942,3,16.22222222222222,13.7
Hayes K.,2024-2025,28,19.91176470588235,6.352941176470588,154,16,29,31,33,95,50,0,34,19,138,0.5588235294117647,1,6.294117647058823,6.7
Hernangomez J.,2024-2025,29,27.03030303030303,10.363636363636363,221,47,8,31,20,36,35,53,33,21,140,0.6363636363636364,2,8.54054054054054,10.8
Hernangomez W.,2024-2025,31,15.428571428571429,8.071428571428571,120,16,4,18,33,52,48,0,28,14,73,0.5,4,5.648648648648648,6.6
Herrera S.,2024-2025,27,11.923076923076923,4.384615384615385,14,5,0,5,2,17,8,15,13,7,69,0.5384615384615384,0,7.714285714285714,7.7
Hezonja M.,2024-2025,30,26.90625,14.625,166,52,4,25,47,50,62,62,32,20,53,0.625,3,13.0,14.8
Hifi N.,2024-2025,22,19.676470588235293,14.676470588235293,71,44,0,21,51,60,97,84,34,19,-149,0.5588235294117647,5,19.02777777777778,15.3
Hoard J.,2024-2025,26,30.541666666666668,14.708333333333334,121,33,6,31,21,46,76,11,24,6,-47,0.25,1,11.911764705882353,11.9
Howard M.,2024-2025,26,22.40625,12.09375,42,48,0,11,46,73,51,80,32,14,-11,0.4375,1,10.590909090909092,8.2
Jackson E.,2024-2025,35,15.0,3.6363636363636362,32,14,0,5,12,37,8,12,22,7,-54,0.3181818181818182,8,6.75,4.0
James M.,2024-2025,34,29.205882352941178,15.764705882352942,98,195,1,36,60,55,134,60,34,21,87,0.6176470588235294,7,16.363636363636363,15.1
Jantunen M.,2024-2025,25,25.11764705882353,7.852941176470588,159,34,7,26,17,88,28,53,34,19,230,0.5588235294117647,2,5.533333333333333,7.2
Jones C.,2024-2025,27,27.12121212121212,14.333333333333334,104,179,4,31,60,58,103,30,33,16,96,0.48484848484848486,0,9.45945945945946,13.8
Jones T.,2024-2025,28,22.741935483870968,11.612903225806452,189,32,21,34,52,76,92,0,31,16,121,0.5161290322580645,1,7.666666666666667,10.1
Kalaitzakis P.,2024-2025,26,7.6,1.72,21,10,1,8,10,26,8,3,25,17,28,0.68,1,1.0,2.9
Kalinic N.,2024-2025,33,26.88235294117647,8.705882352941176,139,87,6,28,57,76,52,38,34,18,-21,0.5294117647058824,6,6.054054054054054,8.6
Kratzer L.,2024-2025,28,9.73913043478261,0.7391304347826086,59,5,5,7,17,61,3,0,23,13,-22,0.5652173913043478,1,0.4444444444444444,3.7
Larkin S.,2024-2025,32,24.818181818181817,11.045454545454545,53,99,1,24,35,20,34,43,22,14,123,0.6363636363636364,5,15.25,12.9
Leday Z.,2024-2025,31,27.676470588235293,16.029411764705884,152,40,4,25,44,67,162,55,34,17,-37,0.5,4,13.133333333333333,15.2
Lessort M.,2024-2025,29,26.529411764705884,13.411764705882353,120,27,12,17,33,37,56,0,17,10,57,0.5882352941176471,2,7.857142857142857,9.3
Lighty D.,2024-2025,37,19.424242424242426,4.424242424242424,59,34,2,17,21,81,14,28,33,13,-37,0.3939393939393939,10,4.125,3.8
Llull S.,2024-2025,37,16.558823529411764,6.676470588235294,43,73,0,12,25,47,29,48,34,20,27,0.5882352941176471,10,3.4545454545454546,5.8
Lo M.,2024-2025,32,17.571428571428573,10.321428571428571,42,62,1,13,39,31,28,39,28,16,-147,0.5714285714285714,5,7.083333333333333,11.8
Loyd J.,2024-2025,31,22.423076923076923,10.461538461538462,84,49,4,20,30,77,55,39,26,14,115,0.5384615384615384,4,15.5,10.5
Lucic V.,2024-2025,36,24.928571428571427,7.142857142857143,67,21,0,14,13,24,29,9,14,8,-9,0.5714285714285714,9,8.21875,6.1
Lundberg I.,2024-2025,30,25.48,8.24,57,76,0,23,29,50,40,36,25,12,67,0.48,3,11.0,7.4
Luwawu Cabarrot T.,2024-2025,30,24.884615384615383,9.961538461538462,82,53,4,20,52,63,39,34,26,10,-11,0.38461538461538464,3,18.4,8.8
Malcolm C.,2024-2025,27,19.103448275862068,7.9655172413793105,71,36,4,12,21,38,35,30,29,17,-18,0.5862068965517241,0,6.756756756756757,7.7
Maledon T.,2024-2025,24,27.606060606060606,17.0,114,153,5,33,97,58,208,55,33,13,-68,0.3939393939393939,3,9.225806451612904,15.2
Mannion N.,2024-2025,24,22.0,8.518518518518519,39,107,1,20,61,68,41,29,27,15,55,0.5555555555555556,3,4.0476190476190474,8.6
Marinkovic V.,2024-2025,28,23.1,7.7,33,24,2,11,14,45,13,29,20,8,57,0.4,1,5.947368421052632,5.6
Mc Cormack D.,2024-2025,25,19.045454545454547,10.454545454545455,126,15,3,22,43,65,50,0,22,3,-101,0.13636363636363635,2,6.962962962962963,10.1
McKissic S.,2024-2025,34,17.818181818181817,8.545454545454545,77,61,1,20,33,46,56,34,33,24,4,0.7272727272727273,7,3.857142857142857,8.0
Melli N.,2024-2025,34,17.235294117647058,4.911764705882353,137,40,14,18,24,92,13,28,34,23,71,0.6764705882352942,7,6.655172413793103,5.5
Mike I.,2024-2025,27,15.772727272727273,4.045454545454546,54,15,3,13,12,38,11,10,22,11,-22,0.5,0,9.36111111111111,5.7
Miller McIntyre C.,2024-2025,31,24.970588235294116,10.176470588235293,103,152,0,19,73,76,29,39,34,18,2,0.5294117647058824,4,12.621621621621621,8.2
