PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,REALE_NEXT_PPG,PREDIZIONE
Dante Exum,2023-24,28.0,195.58,19.8,7.8,55,36,2.7,2.9,0.533,0.645,0.148,10.3,0.655,1.0,0.6707317073170732,3.8,4.5,4.0,0.119,6.0,8.7,7.0
Dario Saric,2023-24,30.0,208.28,17.2,8.0,64,35,4.4,2.3,0.466,0.6,0.19,-1.6,0.547,3.0,0.7804878048780488,6.4,8.7,1.5999999999999996,0.186,57.0,3.5,7.4
Darius Garland,2023-24,24.0,185.42000000000002,33.3,18.0,57,31,2.7,6.5,0.446,0.56,0.249,2.1,0.544,3.0,0.6951219512195121,21.6,21.7,-3.6000000000000014,0.262,69.0,20.6,18.7
David Roddy,2023-24,23.0,193.04,18.1,6.5,65,25,3.2,1.2,0.403,0.484,0.177,-9.3,0.385,4.0,0.7926829268292683,6.7,6.7,-0.20000000000000018,0.163,70.0,4.6,7.6
Davion Mitchell,2023-24,25.0,182.88,15.3,5.3,72,41,1.3,1.9,0.452,0.555,0.147,-2.6,0.569,2.0,0.8780487804878049,5.6,11.5,-0.2999999999999998,0.14,80.0,7.9,7.1
Day'Ron Sharpe,2023-24,22.0,205.74,15.1,6.8,61,25,6.4,1.4,0.571,0.596,0.185,4.8,0.41,5.0,0.7439024390243902,4.7,6.2,2.0999999999999996,0.173,48.0,7.9,8.2
De'Aaron Fox,2023-24,26.0,190.5,35.9,26.6,74,42,4.6,5.6,0.465,0.567,0.3,4.3,0.568,1.0,0.9024390243902439,25.0,23.2,1.6000000000000014,0.288,73.0,23.5,25.6
De'Andre Hunter,2023-24,26.0,203.2,29.5,15.6,57,26,3.9,1.5,0.459,0.595,0.204,-1.3,0.456,1.0,0.6951219512195121,15.4,13.4,0.1999999999999993,0.193,67.0,17.0,14.3
De'Anthony Melton,2023-24,26.0,190.5,26.9,11.1,38,25,3.7,3.0,0.386,0.533,0.177,10.0,0.658,1.0,0.4634146341463415,10.1,10.8,1.0,0.162,77.0,10.3,11.3
DeAndre Jordan,2023-24,35.0,210.82,11.0,3.9,36,24,4.4,0.7,0.624,0.61,0.147,-10.7,0.667,8.0,0.43902439024390244,5.1,4.3,-1.1999999999999997,0.134,39.0,3.7,2.5
DeMar DeRozan,2023-24,34.0,198.12,37.8,24.0,79,37,4.3,5.3,0.48,0.584,0.252,-1.0,0.468,7.0,0.9634146341463414,24.5,27.9,-0.5,0.272,74.0,22.2,21.2
Dean Wade,2023-24,27.0,205.74,20.5,5.4,54,36,4.0,0.8,0.414,0.598,0.101,8.3,0.667,0.0,0.6585365853658537,4.7,5.3,0.7000000000000002,0.1,44.0,5.4,5.6
Deandre Ayton,2023-24,25.0,213.36,32.4,16.7,55,14,11.1,1.6,0.57,0.587,0.211,-8.7,0.255,2.0,0.6707317073170732,18.0,17.2,-1.3000000000000007,0.231,67.0,14.4,15.4
Dejounte Murray,2023-24,27.0,195.58,35.7,22.5,78,34,5.3,6.4,0.459,0.555,0.259,-2.7,0.436,0.0,0.9512195121951219,20.5,21.1,2.0,0.239,74.0,17.5,21.1
Delon Wright,2023-24,32.0,195.58,15.8,4.5,47,16,1.8,2.5,0.394,0.505,0.127,1.0,0.34,5.0,0.573170731707317,7.4,4.4,-2.9000000000000004,0.125,50.0,3.1,3.4
Deni Avdija,2023-24,23.0,205.74,30.1,14.7,75,14,7.2,3.8,0.506,0.597,0.196,-6.5,0.187,4.0,0.9146341463414634,9.2,8.4,5.5,0.165,76.0,16.9,13.7
Dennis Schröder,2023-24,30.0,185.42000000000002,31.1,14.0,80,30,3.0,6.1,0.435,0.55,0.202,-2.8,0.375,3.0,0.975609756097561,12.6,13.5,1.4000000000000004,0.183,66.0,13.1,12.2
Dereck Lively II,2023-24,20.0,215.9,23.5,8.8,55,35,6.9,1.1,0.747,0.728,0.124,5.0,0.636,7.0,0.6707317073170732,8.8,8.8,0.0,0.124,55.0,8.7,10.8
Derrick Jones Jr.,2023-24,27.0,198.12,23.5,8.6,76,47,3.3,1.0,0.483,0.592,0.146,1.7,0.618,0.0,0.926829268292683,5.0,5.6,3.5999999999999996,0.138,64.0,10.1,8.0
Derrick White,2023-24,29.0,193.04,32.6,15.2,73,58,4.2,5.2,0.461,0.611,0.183,12.5,0.795,2.0,0.8902439024390244,12.4,13.2,2.799999999999999,0.174,82.0,16.4,14.9
Desmond Bane,2023-24,26.0,195.58,34.4,23.7,42,14,4.4,5.5,0.464,0.589,0.273,-7.2,0.333,1.0,0.5121951219512195,21.5,18.2,2.1999999999999993,0.252,58.0,19.2,21.5
Devin Booker,2023-24,27.0,198.12,36.0,27.1,68,43,4.5,6.9,0.492,0.611,0.289,5.8,0.632,0.0,0.8292682926829268,27.8,26.8,-0.6999999999999993,0.311,53.0,25.6,26.2
Devin Vassell,2023-24,23.0,195.58,33.1,19.5,68,17,3.8,4.1,0.472,0.578,0.229,-6.0,0.25,4.0,0.8292682926829268,18.5,12.3,1.0,0.24,38.0,16.3,18.1
Dillon Brooks,2023-24,28.0,198.12,30.9,12.7,72,36,3.4,1.7,0.428,0.549,0.176,0.0,0.5,1.0,0.8780487804878049,14.3,18.4,-1.6000000000000014,0.214,73.0,14.0,11.8
Domantas Sabonis,2023-24,28.0,208.28,35.7,19.4,82,46,13.7,8.2,0.594,0.637,0.22,0.8,0.561,1.0,1.0,19.1,18.9,0.29999999999999716,0.213,79.0,19.1,19.3
Dominick Barlow,2023-24,21.0,205.74,12.7,4.4,33,7,3.4,1.1,0.496,0.548,0.139,-4.5,0.212,6.0,0.4024390243902439,3.9,3.9,0.5000000000000004,0.107,28.0,4.2,5.5
Donovan Mitchell,2023-24,27.0,190.5,35.3,26.6,55,36,5.1,6.1,0.462,0.595,0.301,7.3,0.655,0.0,0.6707317073170732,28.3,25.9,-1.6999999999999993,0.31,68.0,24.0,26.0
Donte DiVincenzo,2023-24,27.0,193.04,29.1,15.5,81,50,3.7,2.7,0.443,0.597,0.209,3.7,0.617,0.0,0.9878048780487805,9.4,9.0,6.1,0.146,72.0,11.7,14.3
Dorian Finney-Smith,2023-24,31.0,200.66,28.4,8.5,68,28,4.7,1.6,0.421,0.546,0.132,-2.2,0.412,4.0,0.8292682926829268,8.3,11.0,0.1999999999999993,0.129,66.0,8.7,6.7
Doug McDermott,2023-24,32.0,198.12,14.1,5.5,64,22,0.9,1.1,0.433,0.6,0.144,-9.3,0.344,5.0,0.7804878048780488,10.2,11.3,-4.699999999999999,0.186,64.0,3.5,4.7
Draymond Green,2023-24,34.0,198.12,27.1,8.6,55,33,7.2,6.0,0.497,0.587,0.148,4.9,0.6,7.0,0.6707317073170732,8.5,7.5,0.09999999999999964,0.129,73.0,9.0,7.5
Drew Eubanks,2023-24,27.0,208.28,15.6,5.1,75,42,4.3,0.8,0.601,0.645,0.129,-4.1,0.56,0.0,0.9146341463414634,6.6,7.7,-1.5,0.122,78.0,4.6,5.6
Duncan Robinson,2023-24,30.0,200.66,28.0,12.9,68,38,2.5,2.8,0.45,0.612,0.184,0.5,0.559,3.0,0.8292682926829268,6.4,10.9,6.5,0.172,42.0,11.0,10.7
Duop Reath,2023-24,28.0,205.74,17.9,9.1,68,17,3.7,1.0,0.461,0.571,0.202,-7.1,0.25,1.0,0.8292682926829268,9.1,9.1,0.0,0.202,68.0,4.2,7.7
Dwight Powell,2023-24,32.0,208.28,13.3,3.3,63,38,3.4,1.3,0.679,0.716,0.087,0.3,0.603,5.0,0.7682926829268293,6.7,8.7,-3.4000000000000004,0.123,76.0,2.1,3.3
Dyson Daniels,2023-24,21.0,200.66,22.3,5.8,61,34,3.9,2.7,0.447,0.529,0.123,3.3,0.557,6.0,0.7439024390243902,3.8,3.8,2.0,0.113,59.0,14.1,7.8
Emoni Bates,2023-24,20.0,203.2,8.9,2.7,15,8,0.9,0.7,0.306,0.404,0.196,-30.7,0.533,7.0,0.18292682926829268,2.7,2.7,0.0,0.196,15.0,3.7,5.0
Eric Gordon,2023-24,35.0,190.5,27.8,11.0,68,41,1.8,2.0,0.443,0.58,0.162,3.5,0.603,8.0,0.8292682926829268,12.4,13.4,-1.4000000000000004,0.171,69.0,6.8,9.0
Evan Mobley,2023-24,23.0,210.82,30.6,15.7,50,29,9.4,3.2,0.58,0.626,0.2,1.2,0.58,4.0,0.6097560975609756,16.2,15.0,-0.5,0.199,79.0,18.5,16.5
Franz Wagner,2023-24,22.0,208.28,32.5,19.7,72,44,5.3,3.7,0.482,0.575,0.25,4.3,0.611,5.0,0.8780487804878049,18.6,15.2,1.0999999999999979,0.23,80.0,24.2,20.5
Fred VanVleet,2023-24,30.0,182.88,36.8,17.4,73,38,3.8,8.1,0.416,0.568,0.194,3.0,0.521,3.0,0.8902439024390244,19.3,20.3,-1.9000000000000021,0.225,69.0,14.1,16.5
GG Jackson,2023-24,19.0,205.74,25.7,14.6,48,14,4.1,1.2,0.428,0.554,0.238,-7.1,0.292,8.0,0.5853658536585366,14.6,14.6,0.0,0.238,48.0,7.2,15.6
Garrett Temple,2023-24,38.0,195.58,10.7,3.3,27,5,1.7,1.0,0.372,0.502,0.147,-13.1,0.185,11.0,0.32926829268292684,2.0,5.2,1.2999999999999998,0.123,25.0,1.9,0.1
Garrison Mathews,2023-24,27.0,198.12,15.0,4.9,66,29,1.4,0.6,0.456,0.665,0.11,-4.0,0.439,0.0,0.8048780487804879,4.8,10.0,0.10000000000000053,0.139,54.0,7.5,5.0
Gary Harris,2023-24,29.0,193.04,24.0,6.9,54,35,1.7,1.6,0.441,0.587,0.114,3.3,0.648,2.0,0.6585365853658537,8.3,11.1,-1.4000000000000004,0.125,48.0,3.0,6.6
Gary Payton II,2023-24,31.0,187.96,15.5,5.5,44,27,2.6,1.1,0.563,0.621,0.13,5.8,0.614,4.0,0.5365853658536586,4.6,7.1,0.9000000000000004,0.101,22.0,6.5,4.6
