iter	Passed	Remaining
620	1937	1182
621	1941	1179
622	1945	1177
623	1949	1174
624	1952	1171
625	1955	1168
626	1958	1164
627	1961	1161
628	1964	1158
629	1967	1155
630	1970	1152
631	1973	1148
632	1976	1145
633	1979	1142
634	1982	1139
635	1985	1136
636	1987	1132
637	1991	1129
638	1994	1126
639	1997	1123
640	2000	1120
641	2003	1116
642	2006	1113
643	2008	1110
644	2011	1107
645	2014	1103
646	2017	1100
647	2020	1097
648	2023	1094
649	2026	1091
650	2029	1088
651	2032	1084
652	2035	1081
653	2038	1078
654	2041	1075
655	2044	1072
656	2047	1069
657	2051	1066
658	2054	1062
659	2057	1059
660	2060	1056
661	2063	1053
662	2065	1050
663	2068	1046
664	2071	1043
665	2075	1040
666	2077	1037
667	2081	1034
668	2083	1031
669	2086	1027
670	2089	1024
671	2092	1021
672	2095	1018
673	2099	1015
674	2101	1012
675	2104	1008
676	2107	1005
677	2110	1002
678	2113	999
679	2116	995
680	2119	992
681	2122	989
682	2125	986
683	2128	983
684	2131	980
685	2134	977
686	2137	973
687	2140	970
688	2143	967
689	2146	964
690	2149	961
691	2152	957
692	2155	954
693	2158	951
694	2160	948
695	2163	945
696	2166	941
697	2169	938
698	2172	935
699	2175	932
700	2178	929
701	2181	925
702	2184	922
703	2187	919
704	2190	916
705	2193	913
706	2196	910
707	2199	907
708	2202	903
709	2205	900
710	2207	897
711	2211	894
712	2213	891
713	2216	888
714	2220	884
715	2223	881
716	2226	878
717	2229	875
718	2232	872
719	2235	869
720	2238	866
721	2241	862
722	2244	859
723	2247	856
724	2250	853
725	2252	850
726	2255	847
727	2258	843
728	2261	840
729	2264	837
730	2267	834
731	2270	831
732	2273	828
733	2276	824
734	2278	821
735	2281	818
736	2285	815
737	2287	812
738	2290	809
739	2293	805
740	2296	802
741	2299	799
742	2302	796
743	2305	793
744	2308	790
745	2311	786
746	2314	783
747	2317	780
748	2320	777
749	2323	774
750	2326	771
751	2329	768
752	2332	764
753	2334	761
754	2337	758
755	2340	755
756	2343	752
757	2346	749
758	2349	746
759	2352	742
760	2355	739
761	2358	736
762	2361	733
763	2364	730
764	2367	727
765	2370	724
766	2373	721
767	2376	717
768	2379	714
769	2382	711
770	2385	708
771	2388	705
772	2390	702
773	2393	699
774	2396	695
775	2399	692
776	2402	689
777	2405	686
778	2408	683
779	2411	680
780	2415	677
781	2418	674
782	2421	671
783	2424	667
784	2427	664
785	2430	661
786	2433	658
787	2436	655
788	2440	652
789	2442	649
790	2445	646
791	2448	643
792	2452	640
793	2454	636
794	2457	633
795	2460	630
796	2463	627
797	2466	624
798	2469	621
799	2473	618
800	2476	615
801	2479	612
802	2482	609
803	2485	605
804	2488	602
805	2491	599
806	2494	596
807	2497	593
808	2500	590
809	2503	587
810	2506	584
811	2509	580
812	2512	577
813	2515	574
814	2518	571
815	2521	568
816	2524	565
817	2527	562
818	2530	559
819	2533	556
820	2536	553
821	2539	549
822	2542	546
823	2545	543
824	2548	540
825	2551	537
826	2554	534
827	2557	531
828	2560	528
829	2563	525
830	2566	521
831	2569	518
832	2571	515
833	2574	512
834	2577	509
835	2580	506
836	2583	503
837	2586	500
838	2589	496
839	2592	493
840	2595	490
841	2598	487
842	2601	484
843	2604	481
844	2607	478
845	2610	475
846	2613	472
847	2616	469
848	2619	465
849	2622	462
850	2625	459
851	2628	456
852	2631	453
853	2634	450
854	2637	447
855	2640	444
856	2643	441
857	2646	438
858	2649	434
859	2652	431
860	2655	428
861	2658	425
862	2661	422
863	2664	419
864	2667	416
865	2670	413
866	2673	410
867	2676	407
868	2679	403
869	2682	400
870	2685	397
871	2688	394
872	2691	391
873	2694	388
874	2697	385
875	2700	382
876	2703	379
877	2706	376
878	2709	372
879	2712	369
880	2714	366
881	2717	363
882	2720	360
883	2723	357
884	2726	354
885	2729	351
886	2732	348
887	2735	344
888	2738	341
889	2741	338
890	2744	335
891	2747	332
892	2750	329
893	2753	326
894	2756	323
895	2758	320
896	2761	317
897	2764	314
898	2767	310
899	2771	307
900	2773	304
901	2776	301
902	2779	298
903	2782	295
904	2785	292
905	2788	289
906	2791	286
907	2794	283
908	2797	280
909	2800	276
910	2803	273
911	2806	270
912	2809	267
913	2812	264
914	2815	261
915	2818	258
916	2821	255
917	2824	252
918	2827	249
919	2830	246
920	2833	243
921	2836	239
922	2839	236
923	2842	233
924	2845	230
925	2848	227
926	2851	224
927	2854	221
928	2857	218
929	2860	215
930	2862	212
931	2865	209
932	2868	206
933	2871	202
934	2874	199
935	2877	196
936	2880	193
937	2883	190
938	2886	187
939	2889	184
940	2891	181
941	2895	178
942	2897	175
943	2900	172
944	2903	169
945	2906	165
946	2909	162
947	2912	159
948	2915	156
949	2918	153
950	2921	150
951	2924	147
952	2927	144
953	2930	141
954	2933	138
955	2936	135
956	2939	132
957	2942	128
958	2944	125
959	2947	122
960	2950	119
961	2953	116
962	2956	113
963	2959	110
964	2962	107
965	2966	104
966	2969	101
967	2972	98
968	2975	95
969	2978	92
970	2981	89
971	2984	85
972	2987	82
973	2990	79
974	2993	76
975	2996	73
976	2999	70
977	3002	67
978	3005	64
979	3008	61
980	3011	58
981	3014	55
982	3017	52
983	3020	49
984	3023	46
985	3026	42
986	3029	39
987	3032	36
988	3035	33
989	3038	30
990	3040	27
991	3043	24
992	3047	21
993	3050	18
994	3052	15
995	3056	12
996	3059	9
997	3063	6
998	3066	3
999	3069	0
