_league,_season,PLAYER,TEAM,SEASON,ROLE,ADV ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,EFF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40min,OBPM,DBPM,BPM,VORP
Euroleague,2021-2022,Calathes N.,FC Barcelona,2021-2022,PG,BALL HANDLER,GRE,198,33,22,16,6,72.7,519.0,162,53,98,54.1,16,42,38.1,69,140,49.3,8,15,53.3,14,77,91,134,47,27,1,52,28,258,108,194,18.7,0.835,115.5,104.1,11.4,123.2,93.9,29.3,55.0,55.1,11.3,1.55,34.0,1.03,5.2,0.4,1.5,0.0,20.1,1.23,3.6,24.2,15.5,8.8,34.1,35.2,44.3,14.8,40.9,3.4,4.3,1.8,6.3,17.5,13.3,25.6,3.7,10.7,3.0,0.1,0.2,0.0,16.8,1.7,1.7,3.5,0.195,2.8,0.7,3.5,2.1
Euroleague,2021-2022,Caloiaro A.,Maccabi Tel Aviv BC,2021-2022,PF,SPOT-UP SHOOTER,USA,203,32,32,18,14,56.3,637.0,103,23,45,51.1,12,38,31.6,35,83,42.2,21,23,91.3,27,73,100,40,13,19,1,55,31,173,106,105,8.2,0.981,117.7,106.7,11.0,126.9,102.4,24.5,49.4,56.0,1.9,2.0,35.2,1.03,5.7,0.67,19.0,0.75,17.1,1.17,8.6,12.4,8.6,3.8,7.3,7.2,11.9,1.9,27.6,5.3,5.7,5.7,0.0,14.5,13.1,13.7,36.4,9.9,1.7,0.1,0.0,0.0,9.8,0.7,1.2,1.9,0.109,-0.5,1.7,1.2,1.2
Euroleague,2021-2022,Canaan I.,BC UNICS,2021-2022,PG/SG,SCORER,USA,183,31,24,13,11,54.2,577.0,283,36,88,40.9,57,139,41.0,93,227,41.0,40,49,81.6,7,35,42,32,38,13,4,67,51,165,36,286,24.5,0.99,106.6,102.7,3.9,101.0,100.3,0.7,53.5,57.2,5.6,1.13,18.5,0.83,6.6,0.53,4.5,1.38,44.1,1.21,7.2,13.3,6.6,6.6,8.7,7.3,18.9,2.8,10.1,1.4,2.0,0.9,0.0,7.4,6.9,8.1,0.0,4.3,1.3,0.5,0.6,0.3,13.0,0.0,1.1,1.1,0.077,-0.4,-1.4,-1.8,0.0
Euroleague,2021-2022,Causeur F.,Real Madrid,2021-2022,PG,SPOT-UP SHOOTER,FRA,195,35,23,16,7,69.6,442.0,187,33,54,61.1,34,79,43.0,67,133,50.4,19,29,65.5,7,24,31,25,23,5,1,48,44,139,81,170,18.8,1.1,114.7,105.0,9.7,110.2,105.4,4.8,63.2,63.6,2.9,1.2,22.9,1.23,5.9,1.2,6.5,1.91,40.0,1.19,8.2,13.5,8.8,4.7,7.6,8.1,9.7,4.3,12.8,2.0,1.3,2.9,0.0,6.6,6.3,7.9,0.0,4.3,0.6,0.2,0.0,0.4,13.6,0.5,0.9,1.4,0.103,0.9,-0.2,0.7,0.8
Euroleague,2021-2022,Cavanaugh T.,BC Zalgiris,2021-2022,PF,POST-UP CREATOR,USA,206,28,30,7,23,23.3,775.0,290,66,122,54.1,45,119,37.8,111,241,46.1,23,30,76.7,28,125,153,44,30,15,5,90,54,301,-166,283,19.0,1.025,104.6,118.4,-13.8,107.3,106.7,0.6,55.4,57.3,13.4,1.53,18.7,0.94,11.0,0.77,4.9,1.5,37.1,1.09,4.2,10.6,5.7,4.9,9.1,5.0,22.8,4.4,13.5,4.3,3.8,4.9,0.0,19.8,19.3,19.8,26.5,12.0,1.2,0.4,0.7,0.0,14.4,0.3,1.0,1.3,0.067,0.0,-0.8,-0.8,0.5
Euroleague,2021-2022,Clyburn W.,PBC CSKA Moscow,2021-2022,F,SCORER,USA,201,32,20,12,8,60.0,564.0,298,63,146,43.2,34,102,33.3,97,248,39.1,70,79,88.6,27,76,103,34,39,14,5,29,88,304,28,322,27.8,0.925,116.6,112.4,4.2,109.9,104.2,5.7,46.0,52.7,14.3,1.35,19.9,0.56,11.2,0.78,6.2,0.6,25.2,1.11,10.9,12.1,7.8,4.3,9.0,4.0,22.8,3.9,9.6,5.4,4.8,6.1,5.6,17.0,11.8,20.6,36.4,10.9,1.4,0.6,1.0,0.0,17.0,0.6,0.9,1.4,0.102,-0.4,-1.4,-1.8,0.1
Euroleague,2021-2022,Cohen J.,Maccabi Tel Aviv BC,2021-2022,C,POST&3,ISR,210,31,12,7,5,58.3,82.0,25,4,12,33.3,5,8,62.5,9,20,45.0,2,3,66.7,8,4,12,7,6,7,1,14,4,24,-26,27,15.6,0.926,107.7,124.3,-16.6,104.1,114.7,-10.6,57.5,59.5,3.7,2.0,33.3,0.44,7.4,1.0,7.4,1.5,22.2,2.0,3.7,22.2,11.1,11.1,11.7,13.2,9.1,9.1,20.6,10.1,10.8,10.5,0.0,8.7,5.9,11.1,0.0,9.6,4.9,0.9,0.0,0.0,13.6,0.0,0.1,0.0,0.019,0.1,2.5,2.6,0.2
Euroleague,2021-2022,Costello M.,Baskonia Vitoria-Gasteiz,2021-2022,PF/C,SPOT-UP SHOOTER,USA,210,28,27,11,16,40.7,590.0,247,73,121,60.3,21,65,32.3,94,186,50.5,38,48,79.2,45,94,139,34,29,10,25,59,60,315,-9,234,19.7,1.056,107.8,108.6,-0.8,115.2,98.0,17.2,56.2,60.2,17.5,1.51,30.3,1.1,3.8,0.67,1.7,1.5,25.6,0.95,8.1,12.4,6.4,6.0,9.0,7.0,16.9,0.0,12.7,8.8,8.9,8.3,14.3,17.0,18.9,13.5,27.6,13.1,1.0,2.7,3.6,0.8,18.5,0.7,1.3,2.0,0.134,0.2,1.0,1.2,1.0
Euroleague,2021-2022,Da Silva O.,ALBA Berlin,2021-2022,PF/C,RIM RUNNER,GER,205,23,33,14,19,42.4,607.0,290,111,178,62.4,10,39,25.6,121,217,55.8,38,53,71.7,40,74,114,25,30,29,19,59,59,319,-62,269,22.2,1.078,108.2,113.5,-5.3,109.9,101.5,8.4,58.1,60.7,30.1,1.65,23.8,1.06,12.3,0.61,2.2,0.5,11.9,0.84,8.2,11.2,5.6,5.6,7.0,6.8,9.8,1.6,8.5,7.9,9.6,6.6,4.0,15.3,16.8,13.6,18.2,11.5,2.7,2.0,2.9,0.0,20.6,0.4,1.1,1.6,0.103,-0.1,1.5,1.3,1.1
Euroleague,2021-2022,Daniels T.,Olimpia Milano,2021-2022,SG,OFF-SCREEN SHOOTER,USA,193,30,23,14,9,60.9,261.0,130,11,39,28.2,33,84,39.3,44,123,35.8,9,12,75.0,6,13,19,4,8,8,0,32,6,40,16,135,26.5,0.963,107.7,105.8,1.9,89.8,101.4,-11.6,49.2,51.2,5.2,1.14,5.9,0.25,17.8,0.5,15.6,0.86,46.7,1.29,3.0,5.9,2.2,3.7,2.4,2.0,3.8,2.7,2.9,2.7,3.9,1.8,0.0,5.9,5.6,6.5,0.0,4.3,1.8,0.0,0.0,0.0,11.6,-0.4,0.5,0.1,0.015,-1.3,-2.5,-3.9,-0.3
