PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,_season
1737,Nazr Mohammed,1610612737,ATL,24.0,6-10,82.0,250,Kentucky,USA,1998,1,29,82,9.7,7.9,0.4,-6.8,0.114,0.194,0.192,0.49,0.026,2001-02
98,Nick Anderson,1610612763,MEM,34.0,,, ,Illinois,USA,1989,1,11,15,4.0,2.2,0.9,-13.3,0.004,0.152,0.192,0.375,0.127,2001-02
89,Nick Van Exel,1610612742,DAL,30.0,6-1,73.0,195,Cincinnati,USA,1993,2,37,72,18.4,3.5,6.6,-2.8,0.011,0.091,0.264,0.495,0.339,2001-02
2369,Norman Richardson,1610612741,CHI,24.0,6-5,77.0,200,Hofstra,USA,Undrafted,Undrafted,Undrafted,11,2.7,0.7,0.2,-18.2,0.0,0.069,0.214,0.501,0.057,2001-02
1918,Obinna Ekezie,1610612746,LAC,26.0,6-9,81.0,270,Maryland,Nigeria,1999,2,37,29,1.9,1.2,0.1,4.1,0.076,0.139,0.201,0.477,0.032,2001-02
2071,Olumide Oyedeji,1610612760,SEA,21.0,6-10,82.0,255,None,Nigeria,2000,2,42,36,1.5,2.2,0.1,3.5,0.121,0.219,0.125,0.562,0.026,2001-02
2351,Oscar Torres,1610612745,HOU,25.0,6-6,78.0,210,None,Venezuela,Undrafted,Undrafted,Undrafted,65,6.0,1.9,0.6,-8.4,0.041,0.073,0.182,0.502,0.065,2001-02
970,Othella Harrington,1610612752,NYK,28.0,6-9,81.0,235,Georgetown,USA,1996,2,30,77,7.7,4.5,0.5,3.3,0.086,0.143,0.185,0.567,0.042,2001-02
136,P.J. Brown,1610612766,CHH,32.0,6-11,83.0,239,Louisiana Tech,USA,1992,2,29,80,8.4,9.8,1.3,2.8,0.107,0.203,0.121,0.545,0.064,2001-02
1727,Pat Garrity,1610612753,ORL,25.0,6-9,81.0,238,Notre Dame,USA,1998,1,19,80,11.1,4.2,1.2,4.3,0.033,0.111,0.161,0.553,0.063,2001-02
121,Patrick Ewing,1610612753,ORL,39.0,7-0,84.0,255,Georgetown,Jamaica,1985,1,1,65,6.0,4.0,0.5,-1.9,0.064,0.223,0.223,0.497,0.066,2001-02
2200,Pau Gasol,1610612763,MEM,21.0,7-0,84.0,227,None,Spain,2001,1,3,82,17.6,8.9,2.7,-5.3,0.08,0.164,0.223,0.566,0.133,2001-02
1718,Paul Pierce,1610612738,BOS,24.0,6-6,78.0,230,Kansas,USA,1998,1,10,82,26.1,6.9,3.2,4.6,0.024,0.147,0.289,0.57,0.153,2001-02
978,Peja Stojakovic,1610612758,SAC,25.0,6-9,81.0,229,None,Serbia,1996,1,14,71,21.2,5.3,2.5,7.6,0.027,0.107,0.232,0.592,0.106,2001-02
461,Popeye Jones,1610612764,WAS,32.0,6-8,80.0,250,Murray State,USA,1992,2,41,79,7.0,7.3,1.6,1.8,0.12,0.189,0.154,0.49,0.103,2001-02
1542,Predrag Drobnjak,1610612760,SEA,26.0,6-11,83.0,272,None,Serbia,1997,2,48,64,6.8,3.4,0.8,3.8,0.069,0.128,0.195,0.49,0.069,2001-02
2056,Primoz Brezec,1610612754,IND,22.0,7-1,85.0,243,None,Slovenia,2000,1,27,22,2.0,1.3,0.3,-2.3,0.09,0.073,0.126,0.538,0.065,2001-02
2047,Quentin Richardson,1610612746,LAC,22.0,6-6,78.0,223,DePaul,USA,2000,1,18,81,13.3,4.1,1.6,1.8,0.052,0.101,0.228,0.534,0.105,2001-02
1900,Quincy Lewis,1610612762,UTA,25.0,6-7,79.0,215,Minnesota,USA,1999,1,19,36,4.0,1.2,1.0,-1.6,0.023,0.068,0.167,0.474,0.12,2001-02
1711,Raef LaFrentz,1610612742,DAL,26.0,6-11,83.0,245,Kansas,USA,1998,1,3,78,13.5,7.4,1.1,-1.0,0.069,0.165,0.197,0.533,0.059,2001-02
1747,Rafer Alston,1610612749,MIL,25.0,6-2,74.0,171,Fresno State,USA,1998,2,39,50,3.5,1.4,2.9,-5.2,0.017,0.103,0.191,0.434,0.41,2001-02
1952,Raja Bell,1610612755,PHI,25.0,6-5,77.0,204,Florida International,US Virgin Islands,Undrafted,Undrafted,Undrafted,74,3.4,1.5,1.0,-6.5,0.035,0.088,0.152,0.486,0.141,2001-02
753,Randy Brown,1610612738,BOS,34.0,6-2,74.0,190,New Mexico State,USA,1991,2,31,1,0.0,0.0,2.0,-43.6,0.0,0.0,0.067,0.0,1.0,2001-02
988,Randy Livingston,1610612760,SEA,27.0,6-4,76.0,209,Louisiana State,USA,1996,2,42,13,3.2,1.9,2.0,14.5,0.052,0.089,0.155,0.348,0.205,2001-02
1740,Rashard Lewis,1610612760,SEA,22.0,6-10,82.0,215,None,USA,1998,2,32,71,16.8,7.0,1.7,6.1,0.057,0.14,0.204,0.564,0.076,2001-02
739,Rasheed Wallace,1610612757,POR,27.0,6-11,83.0,225,North Carolina,USA,1995,1,4,79,19.3,8.2,1.9,6.6,0.048,0.179,0.234,0.54,0.09,2001-02
1725,Rasho Nesterovic,1610612750,MIN,26.0,7-0,84.0,248,None,Slovenia,1998,1,17,82,8.4,6.5,0.9,7.0,0.092,0.153,0.158,0.499,0.049,2001-02
2237,Ratko Varda,1610612765,DET,23.0,,, ,None,Bosnia and Herzegovina,Undrafted,Undrafted,Undrafted,1,5.0,1.0,0.0,-8.3,0.0,0.0,0.286,0.727,0.0,2001-02
951,Ray Allen,1610612749,MIL,26.0,6-5,77.0,205,Connecticut,USA,1996,1,5,69,21.8,4.5,3.9,1.2,0.034,0.09,0.258,0.598,0.193,2001-02
397,Reggie Miller,1610612754,IND,36.0,6-7,79.0,195,UCLA,USA,1987,1,11,79,16.5,2.8,3.2,-0.4,0.008,0.068,0.18,0.617,0.144,2001-02
1073,Reggie Slater,1610612737,ATL,31.0,6-7,79.0,255,Wyoming,USA,Undrafted,Undrafted,Undrafted,8,2.6,1.1,0.1,-2.0,0.086,0.0,0.172,0.541,0.038,2001-02
1888,Richard Hamilton,1610612764,WAS,24.0,6-7,79.0,193,Connecticut,USA,1999,1,7,63,20.0,3.4,2.7,-0.7,0.034,0.067,0.281,0.511,0.143,2001-02
2210,Richard Jefferson,1610612751,NJN,22.0,6-7,79.0,222,Arizona,USA,2001,1,13,79,9.4,3.7,1.8,3.3,0.043,0.107,0.189,0.524,0.125,2001-02
1594,Rick Brunson,1610612757,POR,30.0,6-4,76.0,190,Temple,USA,Undrafted,Undrafted,Undrafted,59,2.1,1.2,1.9,-2.7,0.048,0.088,0.152,0.481,0.336,2001-02
296,Rick Fox,1610612747,LAL,32.0,6-7,79.0,242,North Carolina,Canada,1991,1,24,82,7.9,4.7,3.5,6.2,0.039,0.127,0.15,0.502,0.174,2001-02
1729,Ricky Davis,1610612739,CLE,22.0,6-7,79.0,197,Iowa,USA,1998,1,21,82,11.7,3.0,2.2,-4.1,0.034,0.095,0.237,0.539,0.168,2001-02
109,Robert Horry,1610612747,LAL,31.0,6-10,82.0,235,Alabama,USA,1992,1,11,81,6.8,5.9,2.9,8.5,0.059,0.155,0.127,0.528,0.158,2001-02
123,Robert Pack,1610612750,MIN,33.0,6-2,74.0,190,Southern California,USA,Undrafted,Undrafted,Undrafted,16,3.9,1.4,3.1,-6.6,0.027,0.064,0.164,0.416,0.316,2001-02
1714,Robert Traylor,1610612766,CHH,25.0,6-8,80.0,284,Michigan,USA,1998,1,6,61,3.7,3.1,0.6,-3.5,0.1,0.17,0.188,0.473,0.093,2001-02
393,Rod Strickland,1610612748,MIA,35.0,6-3,75.0,185,DePaul,USA,1988,1,19,76,10.4,3.1,6.1,2.0,0.023,0.081,0.198,0.495,0.347,2001-02
